所属概念,market_code,所属概念数量,股票代码,code
创新药;沪股通;融资融券,17,3,688176.SH,688176
融资融券;创新药;CRO概念,151,3,920478.BJ,920478
创新药;医疗器械概念;沪股通;融资融券,17,4,688221.SH,688221
眼科医疗;毛发医疗;医药电商;创新药;合成生物;减肥药;医疗器械概念;深股通;融资融券,33,9,301263.SZ,301263
柔性直流输电;特高压;芯片概念;西部大开发;国企改革,33,5,300831.SZ,300831
物联网;数据要素;数字孪生;人工智能;数字经济;机器视觉;新型工业化;DeepSeek概念;专精特新;工业互联网;机器人概念;智能物流;比亚迪概念;新能源汽车;统一大市场;宁德时代概念;深股通;股权转让(并购重组),33,18,300486.SZ,300486
光纤概念;共封装光学(CPO);先进封装;5G;英伟达概念;数据中心;无人驾驶;华为概念;专精特新;同花顺新质50;人民币贬值受益;深股通;融资融券,33,13,300394.SZ,300394
光纤概念;共封装光学(CPO);第三代半导体;芯片概念;数据中心;可控核聚变;汽车芯片;商业航天;专精特新;华为概念;无人驾驶;医美概念;沪股通;融资融券,17,14,688048.SH,688048
猴痘概念;创新药;生物疫苗;AIGC概念;沪股通;融资融券,17,6,688180.SH,688180
智能音箱;汽车芯片;先进封装;东数西算(算力);阿里巴巴概念;国家大基金持股;腾讯概念;MCU芯片;虚拟现实;芯片概念;AI眼镜;无人驾驶;人工智能;物联网;上海自贸区;数字货币;沪股通;融资融券,17,18,688521.SH,688521
三胎概念;参股银行;IP经济(谷子经济);上海自贸区;深股通;融资融券,33,6,002269.SZ,002269
创新药;2025年报预增;沪股通;融资融券,17,4,688091.SH,688091
流感;医药电商;民营医院;医美概念;创新药;西部大开发;融资融券,17,7,600594.SH,600594
水泥概念;物业管理;共同富裕示范区;国企改革;沪股通,17,5,600724.SH,600724
人民币贬值受益;回购增持再贷款概念;沪股通;融资融券,17,4,688073.SH,688073
流感;医药电商;仿制药一致性评价;创新药;民营医院;医疗器械概念;冷链物流;西部大开发;京津冀一体化;股权转让(并购重组),33,10,000788.SZ,000788
医药电商;流感;三胎概念;参股银行;西部大开发;参股券商;国企改革,17,7,600249.SH,600249
信托概念;互联网金融;参股券商;物业管理;沪股通;融资融券,17,6,600643.SH,600643
航运概念;中韩自贸区;统一大市场;自由贸易港;上海国企改革;上海自贸区;国企改革;一带一路;跨境电商;海峡两岸;2025三季报预增;沪股通;融资融券,17,13,601083.SH,601083
空气能热泵;汽车热管理;储能;长安汽车概念;数据中心;液冷服务器;华为汽车;新能源汽车;比亚迪概念;传感器;华为概念;汽车电子;燃料电池;专精特新;特斯拉概念;智能座舱;无线充电;氢能源,17,18,603158.SH,603158
稀土永磁;金属钴;金属回收;金属铜;汽车拆解概念;消费电子概念;固废处理;垃圾分类;高端装备;新能源汽车;机器人概念;深股通;融资融券,33,13,002645.SZ,002645
MiniLED;PCB概念;共封装光学(CPO);AI PC;MicroLED概念;柔性屏(折叠屏);5G;毫米波雷达;汽车电子;WiFi 6;消费电子概念;先进封装;AI手机;AI眼镜;6G概念;OLED;芯片概念;智能穿戴;新型烟草(电子烟);小米概念;无人机;无人驾驶;商业航天;比亚迪概念;新能源汽车;无线耳机;军工;数据中心;存储芯片;智能音箱;卫星导航;机器人概念;军民融合;低空经济;粤港澳大湾区;人形机器人;物联网;海峡两岸;工业互联网;储能;创投;医疗器械概念;广东自贸区;数字经济;养老概念;融资融券;深股通,33,47,002579.SZ,002579
氟化工概念;锂电池概念;硅能源;新能源汽车;军工;人民币贬值受益;军民融合;中俄贸易概念;回购增持再贷款概念;高铁;托育服务;海工装备;三胎概念;一带一路;创投;国企改革;深股通,33,17,002083.SZ,002083
俄乌冲突概念;天然气;航运概念;上海自贸区;一带一路;央企国企改革;回购增持再贷款概念;海峡两岸;国企改革;高股息精选;融资融券;沪股通,17,12,601872.SH,601872
青蒿素;合成生物;医疗器械概念;仿制药一致性评价;创新药;肝炎概念;医药电商;流感;猴痘概念;幽门螺杆菌概念,33,10,002923.SZ,002923
云游戏;短剧游戏;文化传媒概念;网络游戏;手机游戏;NFT概念;虚拟数字人;AIGC概念;元宇宙;电子竞技;AI智能体;IP经济(谷子经济);虚拟现实;鸿蒙概念;区块链;英伟达概念;人工智能;华为概念;AI应用;深股通;融资融券,33,21,002624.SZ,002624
F5G概念;共封装光学(CPO);铜缆高速连接;华为海思概念股;5G;汽车电子;露营经济;消费电子概念;数据中心;第三代半导体;芯片概念;粤港澳大湾区;新能源汽车;智能穿戴;充电桩;华为概念;储能;车联网(车路协同);工业互联网;体育产业;光伏概念;数字经济;跨境电商;一带一路;商业航天;深股通;融资融券,33,27,002902.SZ,002902
锂电池概念,17,1,603937.SH,603937
PCB概念;风电;国企改革,17,3,605006.SH,605006
液冷服务器;数据中心;5G;东数西算(算力);算力租赁;华为概念;腾讯概念;阿里巴巴概念;抖音概念(字节概念);专精特新;百度概念;DeepSeek概念,17,12,603912.SH,603912
特高压;柔性直流输电;成飞概念;智能电网;充电桩;大飞机;海工装备;风电;军工;光伏概念;军民融合;无人机;储能;数据中心;新能源汽车;专精特新;机器人概念;一带一路;雅下水电概念;2025三季报预增;医疗器械概念;2025年报预增;融资融券,33,23,002560.SZ,002560
俄乌冲突概念;天然气;中俄贸易概念;一带一路;海工装备;锂电池概念;京津冀一体化;融资融券,17,8,603727.SH,603727
Sora概念(文生视频);AI应用;AIGC概念;短剧游戏;虚拟现实;文化传媒概念;装配式建筑;回购增持再贷款概念;新型城镇化;光伏建筑一体化;乡村振兴,17,11,605287.SH,605287
血氧仪;天津自贸区;流感;智能医疗;AI应用;京津冀一体化;医疗器械概念;创投;回购增持再贷款概念;智能穿戴;人民币贬值受益;跨境电商;养老概念;小米概念;深股通;融资融券,33,16,002432.SZ,002432
减肥药;CRO概念;创新药;合成生物;智能医疗;人民币贬值受益;京津冀一体化;深股通;融资融券,33,9,002821.SZ,002821
液冷服务器;智慧灯杆;风电;数据中心;空间计算;东数西算(算力);新能源汽车;换电概念;储能;智慧城市;虚拟现实;人工智能;DeepSeek概念;元宇宙;IP经济(谷子经济);沪股通;股权转让(并购重组),17,17,605289.SH,605289
钙钛矿电池;数字水印;AIGC概念;ChatGPT概念;数字孪生;DeepSeek概念;光伏概念;人工智能;芯片概念;烟草;工业互联网;共同富裕示范区;物联网;锂电池概念,17,14,603687.SH,603687
HJT电池;TOPCON电池;钙钛矿电池;硅能源;虚拟电厂;PPP概念;新型城镇化;光伏概念;储能;固态电池;锂电池概念,17,11,603778.SH,603778
算力租赁;东数西算(算力);电力物联网;数据中心;鸿蒙概念;物联网;华为概念;人工智能;卫星导航;军工;工业互联网;3D打印;机器人概念;新能源汽车;深股通,33,15,002730.SZ,002730
算力租赁;东数西算(算力);英伟达概念;DeepSeek概念;核电;风电;海工装备;高端装备;国企改革;融资融券;沪股通,17,11,603985.SH,603985
算力租赁;数据确权;云计算;东数西算(算力);Sora概念(文生视频);AIGC概念;数据要素;AI智能体;DeepSeek概念;蚂蚁集团概念;人工智能;OLED;黑龙江自贸区;高端装备;比亚迪概念;新疆振兴;AI应用;短剧游戏;沪股通,17,19,600666.SH,600666
算力租赁;云游戏;智谱AI;华为昇腾;云计算;中国AI 50;数据安全;财税数字化;东数西算(算力);信创;智慧政务;AI智能体;数据中心;数据要素;数字乡村;DeepSeek概念;液冷服务器;智慧城市;商业航天;数字经济;华为概念;脑机接口;智能医疗;人工智能;工业互联网;低空经济;无人驾驶;专精特新;机器人概念;融资融券,17,30,688158.SH,688158
幽门螺杆菌概念;创新药;仿制药一致性评价;宠物经济;合成生物;共同富裕示范区;维生素;MR(混合现实);回购增持再贷款概念;深股通,33,10,002940.SZ,002940
液冷服务器;华为手机;英伟达概念;智能音箱;AI眼镜;AI PC;数据中心;汽车电子;无线耳机;消费电子概念;智能穿戴;中国AI 50;小米概念;智能座舱;星闪概念;芯片概念;东数西算(算力);华为概念;毫米波雷达;人形机器人;智能家居;虚拟现实;机器人概念;无人驾驶;阿里巴巴概念;上海自贸区;抖音概念(字节概念);腾讯概念;医疗器械概念;沪股通;融资融券,17,31,603296.SH,603296
商业航天;可控核聚变;海工装备;核电;天然气;福建自贸区;水利;阿里巴巴概念;数字经济;氢能源;海峡两岸;高端装备;腾讯概念;抽水蓄能;一带一路;华为概念;雅下水电概念;碳中和;东数西算(算力);冷链物流;物联网;工业互联网;冰雪产业;燃料电池;体育产业;数据中心;空气能热泵;液冷服务器;深股通;融资融券,33,30,002639.SZ,002639
汽车热管理;专精特新;新能源汽车;农机;创投;军工,17,6,603949.SH,603949
虚拟电厂;碳交易;绿色电力;碳中和;储能,17,5,605162.SH,605162
算力租赁;国资云;东数西算(算力);云计算;数据中心;绿色电力;央企国企改革;国企改革;西部大开发;深股通;融资融券,33,11,000815.SZ,000815
航空发动机;大飞机;军工;无人机;低空经济;创新药;深股通;融资融券,33,8,000534.SZ,000534
军工;汽车芯片;氢能源;长三角一体化;传感器;人形机器人;燃料电池;创投;小米汽车;机器人概念;芯片概念;新能源汽车;比亚迪概念;DeepSeek概念;数据中心;沪股通,17,16,603121.SH,603121
电子竞技;网络游戏;手机游戏;语音技术;虚拟现实;人工智能;云游戏;AIGC概念;鸿蒙概念;元宇宙;虚拟数字人;阿里巴巴概念;ChatGPT概念;创投;华为概念;腾讯概念;旅游概念;百度概念;AI智能体;DeepSeek概念;互联网金融;参股保险;西部大开发;AI应用;深股通;融资融券,33,26,002558.SZ,002558
共封装光学(CPO);光纤概念;商业航天;5G;可控核聚变;军工;芯片概念;3D打印;超导概念;东数西算(算力);数据中心;低空经济;海工装备;华为概念;网络安全;核电;数据安全;比亚迪概念;工业互联网;专精特新;新能源汽车;2025年报预增;华为汽车;风电;长三角一体化;一带一路;参股银行;沪股通;融资融券,17,29,600105.SH,600105
注册制次新股;风电;专精特新;高端装备;新股与次新股;融资融券,17,6,603248.SH,603248
白酒概念;共同富裕示范区;沪股通;融资融券,17,4,601579.SH,601579
三胎概念;跨境电商;C2M概念;沪股通;融资融券,17,5,603193.SH,603193
中芯国际概念;存储芯片;OLED;芯片概念;柔性屏(折叠屏);装配式建筑;沪股通;融资融券,17,8,601133.SH,601133
F5G概念;共封装光学(CPO);WiFi 6;6G概念;5G;量子科技;数据中心;东数西算(算力);智能电网;芯片概念;网络安全;新型工业化;物联网;无人驾驶;工业互联网;数据安全;智慧城市;新型城镇化;车联网(车路协同);融资融券,17,20,603803.SH,603803
环氧丙烷;可降解塑料;氢能源;国企改革;碳纤维;深股通;融资融券,33,7,002408.SZ,002408
维生素;细胞免疫治疗;仿制药一致性评价;互联网金融;物业管理;创新药;生物疫苗;参股券商;证金持股;融资融券;沪股通,17,11,600851.SH,600851
阿尔茨海默概念;仿制药一致性评价;创新药;肝炎概念;共同富裕示范区;流感;医疗器械概念;生物疫苗;医药电商;一带一路;深股通,33,11,002082.SZ,002082
仿制药一致性评价;创新药;辅助生殖;京津冀一体化;数字经济;沪股通,17,6,600488.SH,600488
烟草;新型烟草(电子烟);PVDF概念;创投;比亚迪概念;PET铜箔;宁德时代概念;固态电池;钠离子电池;锂电池概念;国企改革;医疗器械概念;沪股通;融资融券;股权转让(并购重组),17,15,601515.SH,601515
华为概念;新型工业化;机器人概念;AI智能体;DeepSeek概念;人民币贬值受益;一带一路;西部大开发;新疆振兴;融资融券,17,10,600545.SH,600545
流感;医药电商;创新药;维生素;仿制药一致性评价;医疗器械概念;冷链物流;粤港澳大湾区;深股通;融资融券,33,10,000078.SZ,000078
小金属概念;土壤修复;污水处理;净水概念;融资融券,17,5,688480.SH,688480
F5G概念;共封装光学(CPO);5G;芯片概念;数据中心;专精特新;东数西算(算力);沪股通;融资融券,17,9,688205.SH,688205
F5G概念;6G概念;WiFi 6;5G;数据中心;网络安全;芯片概念;华为概念;信创;汽车电子;安防;小米概念;车联网(车路协同);智能座舱;粤港澳大湾区;创投;深股通;融资融券,33,18,301191.SZ,301191
煤化工概念;固废处理;国企改革;沪股通,17,4,600746.SH,600746
富士康概念;液冷服务器;苹果概念;芯片概念;消费电子概念;比亚迪概念;3D打印;无人机;宁德时代概念;人民币贬值受益;锂电池概念;固态电池;深股通;融资融券,33,14,301326.SZ,301326
