market_code,所属概念,所属概念数量,股票代码,code
33,抽水蓄能;生物质能发电;绿色电力;充电桩;东数西算(算力);数据中心;储能;回购增持再贷款概念;新能源汽车;长安汽车概念;比亚迪概念;减速器;深股通;融资融券,14,000601.SZ,000601
17,文化传媒概念;数字乡村;算力租赁;云计算;物联网;人工智能;东数西算(算力);DeepSeek概念;华为概念;智能家居;旅游概念;智能医疗;5G;数据中心;国企改革;西部大开发;沪股通;融资融券,18,600996.SH,600996
17,算力租赁;云计算;东数西算(算力);数据确权;AIGC概念;数据要素;AI智能体;Sora概念(文生视频);DeepSeek概念;蚂蚁集团概念;人工智能;OLED;比亚迪概念;高端装备;黑龙江自贸区;新疆振兴;沪股通,17,600666.SH,600666
33,华为鲲鹏;财税数字化;数据安全;智慧政务;信创;AI智能体;数据确权;数据要素;网络安全;国资云;阿里巴巴概念;百度概念;DeepSeek概念;数字经济;数字孪生;人工智能;智能医疗;智慧城市;车联网(车路协同);东数西算(算力);独角兽概念;华为概念;物联网;京津冀一体化;养老概念;创投;数据中心;无人驾驶;乡村振兴;雄安新区;华为数字能源;国企改革;PPP概念;央企国企改革;一带一路;深股通;融资融券,37,300212.SZ,300212
33,Sora概念(文生视频);AI语料;Web3.0;多模态AI;ChatGPT概念;AIGC概念;虚拟数字人;短剧游戏;AI智能体;阿里巴巴概念;在线教育;手机游戏;东数西算(算力);网络游戏;区块链;DeepSeek概念;人工智能;独角兽概念;同花顺新质50;虚拟现实;华为概念;网红经济;京津冀一体化;无人驾驶;创投;AI应用;芯片概念;人民币贬值受益;深股通;融资融券,30,300418.SZ,300418
33,虚拟数字人;在线教育;多模态AI;腾讯概念;AI智能体;阿里巴巴概念;信创;职业教育;人工智能;DeepSeek概念;AI应用;华为概念;体育产业;西部大开发;深股通,15,300559.SZ,300559
33,俄乌冲突概念;页岩气;天然气;新疆振兴;西部大开发;碳中和;一带一路;人民币贬值受益,8,300164.SZ,300164
17,量子科技;专精特新;PM2.5;食品安全;粤港澳大湾区;医疗器械概念;碳中和;沪股通;融资融券,9,688622.SH,688622
151,一带一路;空气能热泵;净水概念;专精特新;新疆振兴;融资融券;西部大开发,7,920088.BJ,920088
151,中俄贸易概念;一带一路;海工装备;专精特新;氢能源;天然气;新股与次新股;融资融券,8,920158.BJ,920158
33,卫星导航;商业航天;大飞机;军民融合;军工;华为概念;存储芯片;专精特新;西部大开发;融资融券,10,301306.SZ,301306
17,俄乌冲突概念;天然气;海南自贸区;土地流转;一带一路;融资融券;人民币贬值受益;沪股通,8,600759.SH,600759
17,星闪概念;阿里巴巴概念;东数西算(算力);算力租赁;云计算;信创;存储芯片;AI智能体;5G;华为概念;智慧政务;数据中心;鸿蒙概念;数据要素;物联网;人工智能;车联网(车路协同);智慧城市;专精特新;机器人概念;比亚迪概念;粤港澳大湾区;低空经济;无人机;电力物联网;水利;智能电网;沪股通;融资融券,29,688159.SH,688159
17,芯片概念;MiniLED;AI眼镜;光伏概念;PCB概念;机器人概念;机器视觉;2025年报预增;锂电池概念;基因测序;融资融券,11,688610.SH,688610
17,电力物联网;虚拟电厂;智能电网;碳交易;充电桩;量子科技;数据中心;数字孪生;算力租赁;国产操作系统;储能;国资云;东数西算(算力);云计算;华为概念;AI智能体;央企国企改革;人工智能;鸿蒙概念;雅下水电概念;5G;国企改革;西部大开发;沪股通;融资融券,25,600131.SH,600131
17,共封装光学(CPO);光纤概念;5G;汽车芯片;芯片概念;数据中心;西部大开发;沪股通;融资融券,9,688498.SH,688498
17,算力租赁;东数西算(算力);英伟达概念;DeepSeek概念;核电;高端装备;海工装备;风电;国企改革;融资融券;沪股通,11,603985.SH,603985
33,机器视觉;车联网(车路协同);虚拟现实;物联网;新型工业化;智慧城市;无人机;机器人概念;专精特新;职业教育;人工智能;DeepSeek概念;AI智能体;高铁;多模态AI;高端装备;一带一路;智能电网;西部大开发;雅下水电概念;钒电池;小金属概念,22,300789.SZ,300789
33,存储芯片;东数西算(算力);数据安全;云计算;芯片概念;信创;数据中心;国产操作系统;卫星导航;专精特新;军工信息化;军工;深股通;融资融券,14,300302.SZ,300302
17,俄乌冲突概念;天然气;氢能源;可控核聚变;中芯国际概念;光伏概念;碳中和;固态电池;存储芯片;燃料电池;核电;商业航天;第三代半导体;锂电池概念;回购增持再贷款概念;冷链物流;专精特新;芯片概念;长三角一体化;沪股通;融资融券,21,688106.SH,688106
33,高压快充;储能;比亚迪概念;AI眼镜;智能穿戴;消费电子概念;苹果概念;宁德时代概念;华为概念;锂电池概念;深股通;融资融券,12,301180.SZ,301180
151,蚂蚁集团概念;人工智能;AIGC概念;阿里巴巴概念;鸿蒙概念;智谱AI;华为概念;数字经济;DeepSeek概念;智慧政务;区块链;京津冀一体化;互联网金融;融资融券;信创;数据要素,16,920592.BJ,920592
17,华为数字能源;算力租赁;碳交易;东数西算(算力);风电;绿色电力;储能;天津自贸区;智慧城市;华为概念;DeepSeek概念;数字经济;新疆振兴;煤化工概念;京津冀一体化;回购增持再贷款概念;国企改革;沪股通;融资融券,19,600821.SH,600821
17,页岩气;俄乌冲突概念;天然气;煤炭概念;新疆振兴;西部大开发;融资融券;沪股通,8,603393.SH,603393
17,福建自贸区;海峡两岸;地下管网;国企改革;智能物流;军工;高端装备;中俄贸易概念;职业教育;沪股通,10,600815.SH,600815
33,快手概念;算力租赁;抖音概念(字节概念);小红书概念;华为昇腾;腾讯概念;阿里巴巴概念;百度概念;智慧政务;华为鲲鹏;东数西算(算力);AI智能体;数据中心;DeepSeek概念;数字经济;华为概念;共封装光学(CPO);富士康概念;京津冀一体化;一带一路;深股通;融资融券,22,301085.SZ,301085
17,PCB概念;共封装光学(CPO);存储芯片;MiniLED;5G;新能源汽车;2025年报预增;专精特新;华为概念;沪股通;融资融券,11,688519.SH,688519
33,阿尔茨海默概念;共同富裕示范区;医疗器械概念;一带一路;创新药;仿制药一致性评价;肝炎概念;生物疫苗;流感;医药电商;深股通,11,002082.SZ,002082
17,页岩气;天然气;同花顺中特估100;央企国企改革;国企改革;同花顺出海50;风电;海工装备;沪股通;中字头股票;融资融券,11,600938.SH,600938
17,F5G概念;共封装光学(CPO);WiFi 6;6G概念;5G;量子科技;芯片概念;数据中心;新型工业化;东数西算(算力);无人驾驶;物联网;工业互联网;网络安全;新型城镇化;智慧城市;车联网(车路协同);智能电网;数据安全;融资融券,20,603803.SH,603803
33,商业航天;卫星导航;东数西算(算力);工业大麻;土壤修复;新型烟草(电子烟);一带一路;回购增持再贷款概念;生态农业;跨境电商;深股通;融资融券,12,002565.SZ,002565
17,光伏概念;储能;回购增持再贷款概念;专精特新;人民币贬值受益;沪股通;融资融券,7,688032.SH,688032
33,污水处理;可降解塑料;融资融券;深股通,4,002521.SZ,002521
17,统一大市场;一体化压铸;回购增持再贷款概念;新能源汽车;机器人概念;沪股通,6,605050.SH,605050
33,页岩气;天然气;摘帽;深股通;氢能源;国企改革;海工装备;股权转让(并购重组),8,002490.SZ,002490
33,人民币贬值受益;融资融券;深股通,3,300856.SZ,300856
33,信托概念;期货概念;参股保险;参股银行;乡村振兴;养老概念;国企改革;区块链;央企国企改革;人工智能;同花顺中特估100;融资融券;中字头股票;深股通,14,002423.SZ,002423
33,页岩气;俄乌冲突概念;天然气;股权转让(并购重组);地下管网;新型城镇化;合成生物,7,000407.SZ,000407
33,可燃冰;俄乌冲突概念;天然气;新疆振兴;深股通;融资融券;海工装备,7,300191.SZ,300191
17,三胎概念;可降解塑料;福建自贸区;沪股通,4,603615.SH,603615
33,可燃冰;页岩气;俄乌冲突概念;天然气;超超临界发电;融资融券;氢能源;一带一路;雄安新区;储能;高端装备;军工;创投;无人机;数据中心;人工智能;东数西算(算力);机器人概念,18,300157.SZ,300157
17,存储芯片;MCU芯片;芯片概念;汽车电子;小米概念;华为概念;融资融券;沪股通,8,688766.SH,688766
17,天然气;氢能源;京津冀一体化;机器人概念;人形机器人;沪股通;融资融券,7,600681.SH,600681
33,绿色电力;光伏概念;储能;芯片概念;融资融券;深股通,6,300763.SZ,300763
17,页岩气;俄乌冲突概念;天然气;中字头股票;同花顺中特估100;证金持股;沪股通;融资融券;央企国企改革;参股保险;碳交易;国企改革;一带一路,13,601857.SH,601857
17,共封装光学(CPO);智能电网;专精特新;数据中心;特斯拉概念;风电;储能;光伏概念;华为概念;东数西算(算力);HJT电池;钠离子电池;沪股通;融资融券,14,688226.SH,688226
33,俄乌冲突概念;页岩气;天然气;新疆振兴;西部大开发;国企改革,6,002207.SZ,002207
33,卫星导航;商业航天;军工;专精特新;核电;高端装备;人民币贬值受益;风电;绿色电力;融资融券,10,301040.SZ,301040
22,赛马概念;ST板块;特色小镇;PPP概念;新型城镇化;地下管网;盐湖提锂;固废处理;水利;旅游概念;算力租赁;西部大开发;一带一路;光伏概念;乡村振兴;东数西算(算力);充电桩;智慧政务;雅下水电概念;小金属概念;金属铜;金属锌,22,603843.SH,603843
22,页岩气;俄乌冲突概念;天然气;ST板块;人民币贬值受益,5,600777.SH,600777
22,冷链物流;统一大市场;智能物流;ST板块;数字经济;燃料电池;氢能源;粤港澳大湾区,8,603813.SH,603813
33,钠离子电池;固态电池;动力电池回收;储能;锂电池概念;雄安新区;高铁;创投;华为概念;国企改革;数据中心;军工;新疆振兴;液冷服务器;东数西算(算力);鸿蒙概念;抖音概念(字节概念);快手概念;深股通;融资融券,20,002580.SZ,002580
22,ST板块;人民币贬值受益;消费电子概念;海峡两岸,4,603580.SH,603580
22,ST板块;西部大开发;白酒概念,3,600381.SH,600381
33,商业航天;液冷服务器;3D打印;专精特新;汽车热管理;风电;新能源汽车;注册制次新股;新股与次新股;融资融券,10,001400.SZ,001400
33,眼科医疗;基因测序;流感;创新药;仿制药一致性评价;ST板块;医美概念;医疗器械概念;消毒剂,9,000908.SZ,000908
33,手机游戏;ST板块;互联网金融;抖音概念(字节概念);粤港澳大湾区;人脸识别;人工智能;鸿蒙概念;工业互联网;车联网(车路协同);物联网;数据安全;网络安全;信创;华为概念;云计算;储能;5G;东数西算(算力);电力物联网,20,000004.SZ,000004
22,ST板块;互联网金融;人民币贬值受益,3,600599.SH,600599
17,光热发电;风电;光伏概念;商业航天;专精特新;氢能源;机器人概念;海工装备;人民币贬值受益;回购增持再贷款概念;一带一路;融资融券,12,603507.SH,603507
17,页岩气;俄乌冲突概念;天然气;煤炭概念;煤化工概念;新疆振兴;氢能源;碳中和;融资融券;西部大开发;一带一路;沪股通,12,600256.SH,600256
17,天然气;证金持股;POE胶膜;绿色电力;氢能源;国企改革;深圳国企改革;沪股通;融资融券;华为数字能源;燃料电池;固态电池;DeepSeek概念;光伏概念;智慧城市;百度概念;数据中心,17,601139.SH,601139
17,俄乌冲突概念;天然气;新疆振兴;沪股通;一带一路;回购增持再贷款概念;海工装备;机器人概念;融资融券,9,603619.SH,603619
33,智谱AI;华为鲲鹏;云计算;信创;数据安全;算力租赁;AI语料;智慧政务;阿里巴巴概念;国产操作系统;AI智能体;数据确权;东数西算(算力);数据要素;抖音概念(字节概念);国资云;元宇宙;数字乡村;DeepSeek概念;人工智能;数字孪生;数字经济;智慧城市;智能医疗;安防;数据中心;商业航天;工业互联网;低空经济;芯片概念;AI应用;粤港澳大湾区;专精特新;高铁;柔性屏(折叠屏);可控核聚变;体育产业;中芯国际概念;碳中和;乡村振兴;央企国企改革;国企改革;绿色电力;生物质能发电;融资融券;深股通,46,000032.SZ,000032
33,抽水蓄能;超超临界发电;风电;绿色电力;煤炭概念;碳中和;充电桩;储能;光伏建筑一体化;数据中心;工业互联网;东数西算(算力);国企改革;华为概念;人工智能;创投;智能物流;深股通;融资融券,19,001896.SZ,001896
33,卫星导航;商业航天;车联网(车路协同);星闪概念;低空经济;智能座舱;无人驾驶;时空大数据;无人机;军工;数据安全;智能穿戴;数据要素;华为概念;智慧城市;芯片概念;鸿蒙概念;人工智能;国产操作系统;百度概念;区块链;DeepSeek概念;汽车芯片;MCU芯片;汽车电子;机器人概念;小米汽车;小米概念;京津冀一体化;比亚迪概念;特斯拉概念;阿里巴巴概念;长安汽车概念;华为汽车;人形机器人;两轮车;抖音概念(字节概念);充电桩;共享单车;参股保险;融资融券;深股通,42,002405.SZ,002405
17,云办公;智慧政务;时空大数据;AIGC概念;多模态AI;在线教育;ChatGPT概念;信创;AI智能体;量子科技;智慧城市;安防;数字孪生;人脸识别;人工智能;虚拟现实;车联网(车路协同);华为概念;物联网;无人机;智能穿戴;机器视觉;AI应用;融资融券,24,603660.SH,603660
17,光纤概念;F5G概念;铜缆高速连接;WiFi 6;5G;数据中心;华为概念;物联网;智慧城市;智能医疗;互联网金融;融资融券,12,603042.SH,603042
17,云办公;国产操作系统;云计算;华为欧拉;智慧政务;信创;华为鲲鹏;人脸识别;多模态AI;虚拟现实;元宇宙;阿里巴巴概念;腾讯概念;在线教育;AIGC概念;鸿蒙概念;虚拟数字人;AI智能体;数字孪生;安防;空间计算;华为概念;智慧城市;物联网;MR(混合现实);数字乡村;人工智能;低空经济;创投;上海自贸区;乡村振兴;沪股通,32,603189.SH,603189
17,钠离子电池;绿色电力;固态电池;锂电池概念;储能;两轮车;数据中心;2025年报预增;专精特新;人民币贬值受益;低空经济;沪股通;融资融券,13,688063.SH,688063
17,猪肉;预制菜;乡村振兴;西部大开发;回购增持再贷款概念;沪股通,6,605296.SH,605296
33,F5G概念;共封装光学(CPO);铜缆高速连接;PCB概念;高压快充;5G;6G概念;先进封装;MiniLED;苹果概念;充电桩;第三代半导体;工业母机;MicroLED概念;芯片概念;储能;宁德时代概念;东数西算(算力);汽车电子;柔性屏(折叠屏);锂电池概念;量子科技;华为概念;比亚迪概念;高端装备;新能源汽车;专精特新;工业互联网;新型工业化;3D打印;氢能源;传感器;特斯拉概念;卫星导航;物联网;航空发动机;商业航天;汽车热管理;智能座舱;机器人概念;钙钛矿电池;数字孪生;大飞机;智慧城市;华为汽车;农机;腾讯概念;阿里巴巴概念;百度概念;回购增持再贷款概念;智能家居;独角兽概念;长安汽车概念;创投;家用电器;AI智能体;数据要素;乡村振兴;国企改革;基因测序;深股通;融资融券,62,000988.SZ,000988
33,MLOps概念;算力租赁;华为昇腾;华为欧拉;AI语料;云计算;数字水印;华为鲲鹏;多模态AI;ChatGPT概念;数据安全;Web3.0;智慧政务;AIGC概念;信创;东数西算(算力);虚拟数字人;AI智能体;电子身份证;互联网保险;数据要素;鸿蒙概念;数字乡村;区块链;时空大数据;元宇宙;DeepSeek概念;数据中心;智慧城市;数字经济;互联网金融;人工智能;数字孪生;虚拟现实;华为概念;职业教育;AI手机;物联网;5G;AI应用;工业互联网;机器视觉;虚拟电厂;新型工业化;京津冀一体化;人形机器人;碳中和;海工装备;乡村振兴;深股通;融资融券,51,300166.SZ,300166
17,天然气;俄乌冲突概念;煤化工概念;沪股通;融资融券;氢能源;雄安新区;燃料电池;DeepSeek概念;股权转让(并购重组),10,600803.SH,600803
17,煤炭概念;国企改革;沪股通;融资融券,4,600403.SH,600403
17,光伏建筑一体化;虚拟电厂;光伏概念;储能;回购增持再贷款概念;智能电网;沪股通;融资融券,8,688390.SH,688390
33,MicroLED概念;MiniLED;柔性屏(折叠屏);虚拟现实;足球概念;华为概念;2025年报预增;储能;人民币贬值受益;创投;数字经济;深股通,12,300389.SZ,300389
33,军民融合;军工;军工信息化;第三代半导体;2025年报预增,5,000576.SZ,000576
17,生物质能发电;绿色电力;风电;国企改革;充电桩;储能;海工装备;钠离子电池;沪股通;融资融券,10,603693.SH,603693
