market_code,所属概念,所属概念数量,股票代码,code
33,特斯拉概念;专精特新;冰雪产业;数据中心;建筑节能;碳中和;冷链物流;融资融券,8,301010.SZ,301010
33,钠离子电池;固态电池;同花顺漂亮100;动力电池回收;宁德时代概念;锂电池概念;储能;长安汽车概念;小米汽车;华为汽车;换电概念;特斯拉概念;新能源汽车;同花顺出海50;同花顺新质50;融资融券;深股通,17,300750.SZ,300750
17,期货概念;同花顺中特估100;国企改革;2025年报预增;中字头股票;融资融券;沪股通,7,601995.SH,601995
33,农业种植;乡村振兴;西部大开发;回购增持再贷款概念;2025年报预增,5,002772.SZ,002772
17,物业管理;跨境电商;国企改革;自由贸易港;创投;上海自贸区;回购增持再贷款概念;沪股通;融资融券,9,600648.SH,600648
17,ERP概念;云计算;AI智能体;DeepSeek概念;数字经济;人工智能;融资融券,7,688479.SH,688479
17,煤炭概念;超超临界发电;绿色电力;风电;央企国企改革;证金持股;国企改革;西部大开发;沪股通;融资融券,10,600863.SH,600863
17,家用电器;智能家居;DeepSeek概念,3,605336.SH,605336
17,光伏概念;芯片概念;专精特新;新能源汽车;储能;比亚迪概念;宁德时代概念;低空经济;固态电池;燃料电池;华为概念;氢能源;融资融券,13,688551.SH,688551
33,创新药;基因测序;医疗器械概念;智能医疗;福建自贸区;海峡两岸;专精特新;深股通;融资融券,9,300685.SZ,300685
17,空气能热泵;储能;汽车热管理;长安汽车概念;数据中心;新能源汽车;特斯拉概念;液冷服务器;华为汽车;燃料电池;比亚迪概念;传感器;汽车电子;华为概念;专精特新;氢能源;智能座舱;无线充电,18,603158.SH,603158
17,同花顺中特估100;国企改革;央企国企改革;中字头股票;国资云;DeepSeek概念;一带一路;移动支付;数据要素;人工智能;区块链;云计算;数据安全;低空经济;卫星导航;阿里巴巴概念;物联网;商业航天;智能家居;量子科技;6G概念;同花顺新质50;中国AI 50;数据中心;5G;沪股通;融资融券,27,600050.SH,600050
17,文化传媒概念;手机游戏;网络游戏;短剧游戏;在线教育;职业教育;蚂蚁集团概念;DeepSeek概念;AI智能体;国企改革;算力租赁;虚拟现实;东数西算(算力);AI应用;数据中心;融资融券;沪股通,17,601928.SH,601928
33,期货概念;证金持股;新疆振兴;国企改革;深股通;融资融券;西部大开发;2025年报预增,8,000166.SZ,000166
33,超超临界发电;天然气;绿色电力;页岩气;国企改革;风电;西部大开发;证金持股;储能;钠离子电池;深股通;融资融券,12,002053.SZ,002053
17,换电概念;核电;长三角一体化;新型工业化;水利;专精特新;机器人概念;一带一路;股权转让(并购重组),9,603966.SH,603966
33,建筑节能;高铁;风电;专精特新;装配式建筑;新能源汽车;智能家居;体育产业;融资融券,9,301149.SZ,301149
33,算力租赁;智谱AI;快手概念;云计算;东数西算(算力);网络安全;腾讯概念;阿里巴巴概念;百度概念;数据要素;数据中心;DeepSeek概念;华为概念;人工智能;芯片概念;粤港澳大湾区;光伏概念;一带一路;绿色电力;融资融券;深股通,21,300738.SZ,300738
33,抽水蓄能;超超临界发电;风电;绿色电力;储能;氢能源;充电桩;央企国企改革;一带一路;华为概念;PPP概念;国企改革;乡村振兴;机器人概念;深股通;融资融券,16,000875.SZ,000875
17,数据安全;华为鲲鹏;智慧政务;数据要素;物联网;智慧城市;AI智能体;区块链;量子科技;数据确权;人工智能;华为概念;虚拟数字人;PM2.5;DeepSeek概念;算力租赁;传感器;东数西算(算力);商业航天;数据中心;碳中和;碳交易;融资融券,23,688051.SH,688051
17,互联网金融;国企改革;2025年报预增;股权转让(并购重组);融资融券;沪股通,6,601456.SH,601456
17,俄乌冲突概念;华为数字能源;DeepSeek概念;充电桩;华为概念;高压快充;芯片概念,7,603353.SH,603353
17,煤炭概念;超超临界发电;氢能源;风电;TOPCON电池;碳纤维;光伏概念;钠离子电池;国企改革;储能;沪股通;融资融券,12,600348.SH,600348
33,三胎概念;医药电商;维生素;跨境电商;智能医疗;回购增持再贷款概念;粤港澳大湾区;深股通;融资融券,9,300146.SZ,300146
33,深股通,1,002327.SZ,002327
33,DRG/DIP;家庭医生;AI智能体;数据要素;智慧政务;阿里巴巴概念;华为鲲鹏;云计算;华为昇腾;区块链;鸿蒙概念;蚂蚁集团概念;信创;智能医疗;数据安全;数字乡村;DeepSeek概念;网络安全;人工智能;数字经济;人脸识别;智慧城市;移动支付;AI应用;养老概念;华为概念;安防;物联网;食品安全;军工信息化;数据中心;机器视觉;军工;军民融合;乡村振兴;西部大开发;国企改革;新疆振兴;深股通,39,002777.SZ,002777
17,沪股通;融资融券,2,601009.SH,601009
17,卫星导航;商业航天;大飞机;低空经济;华为盘古;车联网(车路协同);华为昇腾;智慧政务;华为鲲鹏;信创;智慧城市;网络安全;数字乡村;数据安全;数据要素;云计算;AI智能体;人脸识别;多模态AI;数字孪生;ChatGPT概念;数字经济;DeepSeek概念;互联网金融;人工智能;职业教育;AIGC概念;阿里巴巴概念;物联网;虚拟数字人;腾讯概念;WiFi 6;国资云;跨境支付(CIPS);华为概念;东数西算(算力);工业互联网;无人驾驶;水利;核电;智能医疗;机器人概念;短剧游戏;新型工业化;央企国企改革;数据中心;人形机器人;乡村振兴;国企改革;回购增持再贷款概念;智能电网;液冷服务器;光刻机;AI应用;沪股通;融资融券,56,600850.SH,600850
33,新型城镇化;PPP概念;水利;抽水蓄能;东数西算(算力);煤炭概念,6,000010.SZ,000010
33,电子身份证;国产操作系统;财税数字化;语音技术;数字货币;智慧政务;移动支付;人脸识别;智慧城市;云计算;华为鲲鹏;百度概念;网络安全;数字经济;ChatGPT概念;数据要素;信创;安防;车联网(车路协同);AI智能体;华为昇腾;智慧灯杆;AIGC概念;东数西算(算力);DeepSeek概念;人工智能;独角兽概念;华为概念;机器视觉;低空经济;工业互联网;智能医疗;机器人概念;无人机;专精特新;5G;AI应用;国企改革;融资融券,39,300479.SZ,300479
17,生物质能发电;医疗废物处理;固废处理;绿色电力;PPP概念;国企改革;垃圾分类;储能;粤港澳大湾区;沪股通;融资融券,11,601033.SH,601033
17,天然气;央企国企改革;沪股通;融资融券;国企改革;绿色电力;一带一路;海工装备;风电;京津冀一体化;高端装备;数字孪生;DeepSeek概念;数据中心;机器人概念,15,600583.SH,600583
33,特高压;虚拟电厂;智能电网;充电桩;高压快充;光伏概念;风电;超级电容;绿色电力;光伏建筑一体化;储能;数据中心;氢能源;燃料电池;中俄贸易概念;高端装备;雄安新区;俄乌冲突概念;京津冀一体化;阿里巴巴概念;融资融券,21,002350.SZ,002350
17,长安汽车概念;新能源汽车;人形机器人;传感器;消费电子概念;西部大开发;沪股通;融资融券,8,603758.SH,603758
17,网络安全;国产操作系统;华为昇腾;国资云;算力租赁;东数西算(算力);信创;区块链;AI智能体;ChatGPT概念;数据要素;鸿蒙概念;在线教育;智慧城市;AI语料;AIGC概念;DeepSeek概念;安防;华为概念;数字经济;数据中心;人工智能;物联网;工业互联网;机器视觉;机器人概念;核电;可控核聚变;消费电子概念;液冷服务器;京津冀一体化;创投;互联网保险;食品安全;核污染防治;工业母机;储能;央企国企改革;土壤修复;锂电池概念;雄安新区;国企改革;污水处理;AI应用;参股券商;沪股通;融资融券;股权转让(并购重组),48,600100.SH,600100
17,天然气;俄乌冲突概念;中俄贸易概念;一带一路;海工装备;京津冀一体化;锂电池概念;融资融券,8,603727.SH,603727
33,在线教育;物联网;职业教育;鸿蒙概念;华为概念;横琴新区;DeepSeek概念;5G;华为海思概念股;工业互联网;苹果概念,11,300050.SZ,300050
17,证金持股;国企改革;航运概念;雄安新区;京津冀一体化;智能物流;沪股通;融资融券,8,601000.SH,601000
33,猪肉;养鸡;预制菜;合成生物;人造肉;回购增持再贷款概念;融资融券;深股通,8,002567.SZ,002567
33,俄乌冲突概念;新疆振兴;中俄贸易概念;国企改革;一带一路;雅下水电概念;高铁;低空经济;芯片概念;股权转让(并购重组),10,300135.SZ,300135
17,超级品牌;啤酒概念;证金持股;同花顺漂亮100;国企改革;沪股通;融资融券,7,600600.SH,600600
33,虚拟数字人;在线教育;ChatGPT概念;短剧游戏;职业教育;区块链;华为鲲鹏;AI智能体;阿里巴巴概念;DeepSeek概念;人工智能;华为概念;AI应用,13,300235.SZ,300235
33,ETC;智慧灯杆;车联网(车路协同);无人驾驶;长安汽车概念;智能座舱;百度概念;智慧城市;数据要素;数字经济;鸿蒙概念;粤港澳大湾区;物联网;人工智能;数字孪生;华为概念;机器人概念;汽车电子;毫米波雷达;新能源汽车;专精特新;深股通;融资融券,23,002869.SZ,002869
17,MiniLED;电子纸;消费电子概念;智能座舱;芯片概念;新能源汽车;人民币贬值受益;一带一路;国企改革;沪股通;融资融券,11,688055.SH,688055
33,智能座舱;汽车电子;海峡两岸;特斯拉概念;福建自贸区;人形机器人;新能源汽车;机器人概念;芯片概念;物联网;人民币贬值受益;数字货币;人工智能;深股通,14,003019.SZ,003019
17,同花顺中特估100;沪股通;腾讯概念;融资融券,4,601066.SH,601066
33,核电;装配式建筑;雄安新区;西部大开发;深股通;股权转让(并购重组);融资融券,7,300767.SZ,300767
33,同花顺中特估100;绿色电力;央企国企改革;核电;国企改革;一带一路;核污染防治;DeepSeek概念;中字头股票;融资融券;深股通,11,003816.SZ,003816
17,证金持股;信托概念;跨境支付(CIPS);沪股通;融资融券,5,600000.SH,600000
33,抖音概念(字节概念);MCU芯片;百度概念;汽车芯片;存储芯片;东数西算(算力);跨境电商;物联网;毫米波雷达;低空经济;AI眼镜;飞行汽车(eVTOL);智能物流;消费电子概念;创投;芯片概念;无人机;海峡两岸;汽车电子;机器人概念;数据中心;2025年报预增;比亚迪概念;统一大市场;新能源汽车;液冷服务器;一带一路;宁德时代概念;深股通;融资融券,30,300975.SZ,300975
33,净水概念;空气能热泵;创投;家用电器;智能家居;数字经济;粤港澳大湾区;鸿蒙概念;深股通;无人机;融资融券,11,002035.SZ,002035
33,国企改革;移动支付;融资融券;深股通,4,002966.SZ,002966
17,猴痘概念;流感;生物疫苗;幽门螺杆菌概念;创新药;智能医疗;DeepSeek概念;同花顺漂亮100;融资融券;沪股通,10,603392.SH,603392
151,消费电子概念;无人机;数据中心;3D打印;锂电池概念;风电;固态电池;融资融券;军工;海工装备,10,920871.BJ,920871
33,生物疫苗;流感;肝炎概念;创新药;合成生物;深股通;融资融券,7,300601.SZ,300601
17,专精特新;2025年报预增;机器人概念;智能物流;数字孪生;东数西算(算力);人工智能;阿里巴巴概念;融资融券,9,688215.SH,688215
33,证金持股;深股通;融资融券;共同富裕示范区,4,002142.SZ,002142
17,创新药;人民币贬值受益;西部大开发;沪股通;融资融券,5,688506.SH,688506
33,绿色电力;PPP概念;抽水蓄能;国企改革;污水处理;氢能源;风电;乡村振兴;新型城镇化;一带一路;水利;燃料电池;储能;智慧城市;粤港澳大湾区;深股通;融资融券,17,002060.SZ,002060
33,算力租赁;云计算;东数西算(算力);英伟达概念;数据中心;DeepSeek概念;人工智能;5G;卫星导航;军工;创投;芯片概念;军民融合;铜缆高速连接;共封装光学(CPO);存储芯片;燃料电池;国企改革;氢能源;环氧丙烷;深股通;融资融券,22,000818.SZ,000818
17,商业航天;6G概念;同花顺新质50;军工;低空经济;央企国企改革;中字头股票;一带一路;国企改革;同花顺中特估100;沪股通;融资融券,12,601698.SH,601698
33,光刻胶;第三代半导体;消费电子概念;芯片概念;光伏概念;专精特新;燃料电池;机器人概念;氢能源;融资融券,10,300700.SZ,300700
17,国企改革;氢能源;智能医疗;ETC;在线教育;人工智能;物联网;国产操作系统;车联网(车路协同);华为概念;无线耳机;WiFi 6;沪股通;融资融券,14,600035.SH,600035
33,超级品牌;预制菜;旅游概念;国企改革;农业种植;乡村振兴;深股通;融资融券;央企国企改革;数字经济;华为概念,11,000423.SZ,000423
33,知识产权保护;数据确权;短剧游戏;Sora概念(文生视频);文化传媒概念;NFT概念;AI语料;元宇宙;数字水印;AIGC概念;数据安全;区块链;网络安全;数字货币;云计算;AI智能体;IP经济(谷子经济);移动支付;跨境支付(CIPS);ETC;DeepSeek概念;人工智能;互联网金融;车联网(车路协同);安防;星闪概念;华为概念;WiFi 6;华为海思概念股;无人机;AI手机;5G;商业航天;芯片概念;AI应用;光纤概念;融资融券;深股通,38,300079.SZ,300079
33,Sora概念(文生视频);数据确权;知识产权保护;数据安全;华为鲲鹏;财税数字化;国资云;ChatGPT概念;AIGC概念;电子身份证;AI智能体;信创;网络安全;鸿蒙概念;阿里巴巴概念;腾讯概念;国产操作系统;区块链;元宇宙;数据要素;数字货币;数字乡村;人脸识别;DeepSeek概念;东数西算(算力);数字经济;车联网(车路协同);职业教育;人工智能;智慧城市;EDR概念;安防;华为概念;低空经济;数据中心;无人机;食品安全;智能穿戴;军工;机器人概念;AI眼镜;福建自贸区;AI应用;海峡两岸;消费电子概念;国企改革;央企国企改革;深股通;融资融券,49,300188.SZ,300188
33,AI智能体;AIGC概念;数据要素;鸿蒙概念;DeepSeek概念;AI应用;期货概念;融资融券,8,301299.SZ,301299
33,预制菜;啤酒概念;白酒概念;无人零售;跨境电商;统一大市场;乡村振兴;农业种植;智能物流;粮食概念;数字经济;ChatGPT概念;AIGC概念;国企改革;鸿蒙概念;DeepSeek概念;人工智能;腾讯概念;新疆振兴;粤港澳大湾区;低空经济;光伏建筑一体化;央企国企改革;绿色电力;储能;AI应用;深股通;融资融券,28,002419.SZ,002419
33,共封装光学(CPO);MiniLED;先进封装;富士康概念;第三代半导体;PCB概念;苹果概念;华为手机;工业母机;芯片概念;汽车芯片;消费电子概念;高端装备;锂电池概念;比亚迪概念;军工;小米概念;新型工业化;2025年报预增;专精特新;机器视觉;工业互联网;华为概念;深股通;融资融券,25,301338.SZ,301338
17,医疗器械概念;专精特新;融资融券;沪股通,4,688617.SH,688617
33,数字货币;移动支付;电子身份证;ETC;互联网金融;车联网(车路协同);国产操作系统;区块链;智慧政务;数字经济;物联网;网络安全;数据安全;量子科技;人工智能;阿里巴巴概念;华为概念;一带一路;5G;消费电子概念;芯片概念;深股通;融资融券,23,002104.SZ,002104
33,脑机接口;AIGC概念;多模态AI;信创;数据安全;华为鲲鹏;AI智能体;智慧政务;智能医疗;阿里巴巴概念;网络安全;数据要素;人工智能;人脸识别;DeepSeek概念;数字经济;安防;智慧城市;物联网;华为概念;智能穿戴;机器视觉;医疗器械概念;低空经济;数据中心;工业互联网;无人驾驶;AI应用;新型工业化;机器人概念;军工;专精特新;新型烟草(电子烟);烟草;比亚迪概念;锂电池概念;西部大开发;国企改革;融资融券;深股通;中字头股票,41,300678.SZ,300678
17,可降解塑料;烟草;燃料电池;氢能源;国企改革;央企国企改革;军工;融资融券;沪股通,9,600433.SH,600433
17,物业管理;参股券商;国企改革;上海自贸区;融资融券;创投;回购增持再贷款概念;沪股通,8,600639.SH,600639
33,财税数字化;电子身份证;智慧政务;移动支付;AI智能体;鸿蒙概念;信创;数据要素;数字货币;蚂蚁集团概念;区块链;阿里巴巴概念;腾讯概念;数字经济;DeepSeek概念;互联网金融;人工智能;智慧城市;AI应用;华为概念;国企改革;深股通;融资融券,23,301153.SZ,301153
17,期货概念;证金持股;参股券商;信托概念;国企改革;雄安新区;沪股通;融资融券;央企国企改革,9,600061.SH,600061
33,AI PC;军工;数据中心;高压快充;商业航天;充电桩;苹果概念;储能;一带一路;华为概念;光伏概念;智能穿戴;消费电子概念;深股通;融资融券,15,002843.SZ,002843
17,BC电池;TOPCON电池;HJT电池;光伏概念;沪股通;融资融券,6,688429.SH,688429
33,中芯国际概念;光刻机;存储芯片;OLED;第三代半导体;芯片概念;光伏概念;海峡两岸;碳纤维;共同富裕示范区;深股通;中韩自贸区;融资融券,13,300666.SZ,300666
17,华为汽车;飞行汽车(eVTOL);固态电池;无人驾驶;人形机器人;低空经济;车联网(车路协同);机器人概念;参股银行;新能源汽车;无线充电;人工智能;华为概念;西部大开发;抖音概念(字节概念);沪股通;股权转让(并购重组);融资融券,18,601127.SH,601127
33,信托概念;证金持股;参股保险;参股银行;化债概念(AMC概念);国企改革;西部大开发;深股通;融资融券,9,000563.SZ,000563
33,养老概念;CRO概念;减肥药;民营医院;合成生物;NMN概念;创新药;医美概念;仿制药一致性评价;工业大麻;重组蛋白;生物疫苗;西部大开发;国企改革;深股通;融资融券,16,000813.SZ,000813
33,数字经济;创投;一带一路,3,002394.SZ,002394
17,航运概念;中韩自贸区;统一大市场;国企改革;回购增持再贷款概念;中俄贸易概念;沪股通;融资融券;区块链,9,601880.SH,601880
17,生物质能发电;绿色电力;医疗废物处理;固废处理;PPP概念;土壤修复;国企改革;污水处理;垃圾分类;上海国企改革;上海自贸区;沪股通;融资融券,13,601200.SH,601200
17,无人驾驶;机器视觉;专精特新;机器人概念;智能物流;华为概念;无人机;人工智能;阿里巴巴概念;拼多多概念;抖音概念(字节概念);国企改革;统一大市场;沪股通;中字头股票;融资融券,16,688648.SH,688648
17,期货概念;国企改革;京津冀一体化;央企国企改革;沪股通;融资融券,6,601059.SH,601059
17,文化传媒概念;NFT概念;IP经济(谷子经济);知识产权保护;虚拟数字人;AIGC概念;数据确权;职业教育;区块链;元宇宙;AI应用;体育产业;百度概念;DeepSeek概念;数字经济;人工智能;独角兽概念;国企改革;西部大开发;华为概念;沪股通,21,601811.SH,601811
33,禽流感;医药电商;流感;创新药;国企改革;绿色电力;深股通;融资融券;央企国企改革;股权转让(并购重组),10,000999.SZ,000999
33,特色小镇;土壤修复;PPP概念;ST板块;固废处理;新型城镇化;污水处理;乡村振兴;雄安新区;横琴新区;旅游概念;预制菜;国企改革;水利;农业种植;光伏概念;IP经济(谷子经济);粤港澳大湾区;智慧城市;数字经济;一带一路;网红经济;新疆振兴;人工智能;华为概念;虚拟数字人;数字水印;ChatGPT概念;元宇宙;腾讯概念;文化传媒概念;数据确权;虚拟现实;AIGC概念;MR(混合现实),35,002717.SZ,002717
17,国企改革;融资融券;沪股通,3,601658.SH,601658
17,超超临界发电;生物质能发电;碳交易;绿色电力;水泥概念;虚拟电厂;光热发电;风电;柔性直流输电;特高压;土壤修复;氢能源;储能;雅下水电概念;水利;民爆概念;燃料电池;新型城镇化;央企国企改革;同花顺中特估100;参股保险;证金持股;国企改革;核电;宁德时代概念;一带一路;光纤概念;数据中心;可控核聚变;海工装备;高端装备;机器人概念;算力租赁;低空经济;东数西算(算力);华为概念;军工;阿里巴巴概念;人工智能;AI智能体;中字头股票;融资融券;沪股通,43,601868.SH,601868
17,冰雪产业;物业管理;体育产业;养老概念;三胎概念;家庭医生;土壤修复;智慧城市;国企改革;粤港澳大湾区;2025年报预增;AI应用;融资融券,13,600684.SH,600684
17,中字头股票;同花顺中特估100;证金持股;装配式建筑;PPP概念;地下管网;新型城镇化;绿色电力;国企改革;央企国企改革;沪股通;融资融券;水利;一带一路;回购增持再贷款概念;风电;数字孪生;核电,18,601668.SH,601668
33,烟草;HJT电池;TOPCON电池;新型烟草(电子烟);光伏概念;ST板块;工业大麻;绿色电力,8,300125.SZ,300125
17,期货概念;国企改革;雄安新区;京津冀一体化;百度概念;融资融券;沪股通,7,600906.SH,600906
17,绿色电力;注册制次新股;国企改革;央企国企改革;风电;核电;一带一路;人工智能;储能;新股与次新股;融资融券,11,600930.SH,600930
33,MicroLED概念;电子纸;柔性屏(折叠屏);OLED;智能穿戴;华为概念;车联网(车路协同);虚拟现实;消费电子概念;AI手机;智能座舱;小米概念;储能;比亚迪概念;石墨烯;东数西算(算力);特斯拉概念;汽车电子;锂电池概念;新能源汽车;元宇宙;固态电池;苹果概念;华为汽车;算力租赁;一带一路;国企改革;深股通;融资融券,29,300088.SZ,300088
17,国家大基金持股;存储芯片;中芯国际概念;汽车电子;芯片概念;消费电子概念;中国AI 50;物联网;上海自贸区;同花顺漂亮100;融资融券;沪股通,12,688981.SH,688981
17,高股息精选;证金持股;国企改革;沪股通;融资融券,5,601818.SH,601818
33,MCU芯片;汽车芯片;华为海思概念股;存储芯片;智能穿戴;芯片概念;无线耳机;星闪概念;消费电子概念;汽车电子;5G;小米概念;传感器;物联网;数据中心;华为概念;第三代半导体;车联网(车路协同);6G概念;ETC;液冷服务器;OLED;机器人概念;智能家居;腾讯概念;比亚迪概念;PCB概念;人工智能;独角兽概念;电力物联网;特斯拉概念;智能电网;2025年报预增;光伏概念;跨境电商;融资融券;深股通,37,300184.SZ,300184
33,脑机接口;建筑节能;智慧城市;毫米波雷达;东数西算(算力);创投;数字经济;芯片概念;数据中心;锂电池概念;深圳国企改革;物业管理;国企改革;可降解塑料;冷链物流;深股通;融资融券,17,002243.SZ,002243
17,超超临界发电;抽水蓄能;绿色电力;证金持股;风电;央企国企改革;国企改革;沪股通;融资融券,9,600795.SH,600795
33,卫星导航;EDR概念;人脸识别;车联网(车路协同);ERP概念;物联网;人工智能;无人驾驶;华为概念;智能穿戴;东数西算(算力);智能座舱;数据要素;AI智能体;移动支付;百度概念;网约车;比亚迪概念;新能源汽车;数据中心;智能物流;充电桩;高压快充;冷链物流;雄安新区;乡村振兴,26,300807.SZ,300807
17,算力租赁;东数西算(算力);华为昇腾;数据中心;智慧政务;6G概念;AI智能体;智慧城市;F5G概念;车联网(车路协同);5G;华为概念;DeepSeek概念;人工智能;卫星导航;共享单车;低空经济;充电桩;共封装光学(CPO);光纤概念;储能;光伏概念;AI应用;新能源汽车;一带一路;锂电池概念;沪股通;融资融券,28,603220.SH,603220
17,证金持股;同花顺漂亮100;两轮车;雄安新区;氢能源;沪股通;融资融券;燃料电池;车联网(车路协同);同花顺出海50;新能源汽车;无人驾驶;机器人概念;固态电池;DeepSeek概念;宁德时代概念;智能座舱;华为概念;MCU芯片,19,601633.SH,601633
33,MCU芯片;人形机器人;芯片概念;传感器;智能家居;机器人概念;机器视觉;安防;物联网;储能;无人机;跨境电商;数据中心;新型城镇化;人工智能;智慧城市;阿里巴巴概念;氢能源;核电;快手概念;融资融券;深股通,22,002960.SZ,002960
17,医药电商;证金持股;白酒概念;参股银行;国企改革;沪股通;融资融券;央企国企改革;回购增持再贷款概念;数字经济,10,600750.SH,600750
33,柔性屏(折叠屏);消费电子概念;OLED;智能穿戴;小米概念;虚拟现实;专精特新;融资融券;深股通,9,002876.SZ,002876
151,转基因;玉米;乡村振兴;融资融券;粮食概念;人工智能;农业种植,7,920403.BJ,920403
33,互联网金融;鸿蒙概念;信创;百度概念;数据要素;AI智能体;AIGC概念;数字经济;腾讯概念;DeepSeek概念;人工智能;华为概念;AI应用;2025年报预增;深股通,15,300380.SZ,300380
17,芬太尼;创新药;沪股通;融资融券,4,600285.SH,600285
33,MLOps概念;华为昇腾;华为鲲鹏;ChatGPT概念;信创;AIGC概念;网络安全;智慧政务;AI智能体;军工信息化;量子科技;数据要素;区块链;在线教育;数字乡村;东数西算(算力);商业航天;车联网(车路协同);DeepSeek概念;数字经济;智慧城市;人工智能;数字孪生;华为概念;ETC;5G;低空经济;军工;智能医疗;数据中心;无人驾驶;机器人概念;比亚迪概念;AI应用;智能物流;养老概念;水利;汽车热管理;宁德时代概念;新能源汽车;储能;虚拟电厂;锂电池概念;回购增持再贷款概念;深股通;融资融券,46,300520.SZ,300520
17,证金持股;跨境支付(CIPS);沪股通;融资融券;福建自贸区;海峡两岸,6,601166.SH,601166
17,旅游概念;冰雪产业;IP经济(谷子经济);文化传媒概念;短剧游戏;网络游戏;手机游戏;露营经济;元宇宙;低空经济;飞行汽车(eVTOL);沪股通,12,600576.SH,600576
33,深股通;融资融券,2,002958.SZ,002958
33,军民融合;军工;无人机;低空经济;央企国企改革;碳纤维;柔性屏(折叠屏);MiniLED;光伏概念;人工智能;智能物流;国企改革;人民币贬值受益;深股通;融资融券,15,002389.SZ,002389
33,期货概念;参股券商;PPP概念;国企改革;动力电池回收;深股通;融资融券;粤港澳大湾区;充电桩;新能源汽车,10,000828.SZ,000828
33,短剧游戏;小红书概念;快手概念;NFT概念;文化传媒概念;Sora概念(文生视频);虚拟数字人;Web3.0;AIGC概念;拼多多概念;ChatGPT概念;抖音概念(字节概念);IP经济(谷子经济);元宇宙;网红经济;腾讯概念;百度概念;阿里巴巴概念;数据要素;区块链;数字经济;人工智能;虚拟现实;体育产业;三胎概念;智能音箱;冰雪产业;华为概念;京津冀一体化;小米概念;无线耳机;消费电子概念;深股通,33,002878.SZ,002878
33,统一大市场;长三角一体化;乡村振兴;智能物流;数字经济;回购增持再贷款概念;阿里巴巴概念;人工智能;深股通;融资融券,10,002468.SZ,002468
17,证金持股;PPP概念;国企改革;污水处理;净水概念;西部大开发;沪股通;融资融券,8,601158.SH,601158
33,云办公;云计算;云游戏;华为鲲鹏;数据安全;智慧政务;AIGC概念;抖音概念(字节概念);AI智能体;腾讯概念;阿里巴巴概念;数据要素;东数西算(算力);鸿蒙概念;元宇宙;蚂蚁集团概念;DeepSeek概念;人工智能;智慧城市;华为概念;数字经济;互联网金融;AI应用;物联网;5G;粤港澳大湾区;智能家居;华为手机;回购增持再贷款概念;深股通;融资融券,31,301382.SZ,301382
33,创新药;仿制药一致性评价;辅助生殖;基因测序;医药电商;肝炎概念;福建自贸区;海峡两岸;融资融券;深股通,10,300436.SZ,300436
151,中俄贸易概念;环氧丙烷;一带一路;可降解塑料;专精特新;融资融券,6,920099.BJ,920099
33,房屋检测;芯片概念;机器人概念;传感器;军工;ST板块;无人机;智能电网;军民融合;无人驾驶;商业航天;卫星导航;安防,13,002214.SZ,002214
33,物业管理;深圳国企改革;新型城镇化;化债概念(AMC概念);国企改革;粤港澳大湾区;一带一路;深股通,8,000011.SZ,000011
17,超级品牌;证金持股;医药电商;流感;国企改革;沪股通;融资融券;智能医疗;DeepSeek概念,9,600085.SH,600085
17,煤炭概念;超超临界发电;绿色电力;风电;国企改革;西部大开发;回购增持再贷款概念;参股券商;白酒概念;2025年报预增;沪股通;融资融券,12,600395.SH,600395
33,钠离子电池;固态电池;两轮车;锂电池概念;新型烟草(电子烟);储能;脑机接口;盐湖提锂;无线耳机;燃料电池;同花顺漂亮100;氢能源;智能电网;新能源汽车;长安汽车概念;小米概念;人形机器人;粤港澳大湾区;机器人概念;安防;华为概念;飞行汽车(eVTOL);深股通;融资融券;低空经济;无人机;商业航天,27,300014.SZ,300014
17,文化传媒概念;西部大开发;国企改革;沪股通,4,603230.SH,603230
17,国企改革;沪股通,2,601518.SH,601518
17,特斯拉概念;小米汽车;华为汽车;长安汽车概念;新能源汽车;比亚迪概念;小米概念;专精特新;同花顺新质50;无人驾驶;储能;氢能源;股权转让(并购重组),13,603037.SH,603037
33,OLED;虚拟现实;粤港澳大湾区;深圳国企改革;国企改革;深股通,6,000045.SZ,000045
33,医疗器械概念;辅助生殖;人民币贬值受益;融资融券,4,301122.SZ,301122
33,宠物经济;露营经济;网红经济;三胎概念;跨境电商;拼多多概念;创投;净水概念;家用电器;粤港澳大湾区;融资融券;深股通,12,002959.SZ,002959
17,毛发医疗;医药电商;维生素;流感;仿制药一致性评价;眼科医疗;工业大麻;创新药;幽门螺杆菌概念;阿尔茨海默概念;国企改革;智能医疗;AI应用;沪股通;融资融券;专精特新,16,600572.SH,600572
33,算力租赁;数字水印;华为昇腾;智谱AI;东数西算(算力);快手概念;多模态AI;腾讯概念;阿里巴巴概念;虚拟数字人;数据要素;元宇宙;鸿蒙概念;WiFi 6;数据中心;短剧游戏;虚拟现实;6G概念;F5G概念;DeepSeek概念;智能音箱;数字经济;文化传媒概念;5G;共封装光学(CPO);IP经济(谷子经济);芯片概念;低空经济;无人机;智能家居;机器人概念;人形机器人;储能,33,300571.SZ,300571
33,虚拟电厂;绿色电力;氢能源;国企改革;化债概念(AMC概念);储能;回购增持再贷款概念;2025三季报预增;燃料电池;锂电池概念;粤港澳大湾区;2025年报预增;无人驾驶;融资融券;深股通,15,000531.SZ,000531
