股票代码,所属概念,code,所属概念数量,market_code
600580.SH,人形机器人;特斯拉概念;比亚迪概念;新能源汽车;机器人概念;飞行汽车(eVTOL);小米概念;无人机;工业互联网;军工;家用电器;航空发动机;低空经济;储能;数据中心;智能家居;华为概念;核电;海工装备;风电;一带一路;阿里巴巴概念;氢能源;DeepSeek概念;光伏建筑一体化;沪股通;融资融券,600580,27,17
002506.SZ,HJT电池;钙钛矿电池;TOPCON电池;BC电池;光伏建筑一体化;钒电池;光热发电;碳交易;碳中和;雄安新区;光伏概念;蚂蚁集团概念;长三角一体化;华为数字能源;储能;数字经济;区块链;空气能热泵;华为概念;深股通;融资融券,002506,21,33
300080.SZ,石墨电极;TOPCON电池;煤化工概念;钒电池;绿色电力;石墨烯;锂电池概念;国企改革;储能;宁德时代概念;股权转让(并购重组);融资融券;深股通,300080,13,33
000422.SZ,磷化工;化肥;煤化工概念;氟化工概念;煤炭概念;可降解塑料;回购增持再贷款概念;国企改革;乡村振兴;宁德时代概念;光刻胶;华为概念;股权转让(并购重组);融资融券;深股通,000422,15,33
600075.SH,煤化工概念;水泥概念;生态农业;可降解塑料;碳交易;新疆振兴;绿色电力;国企改革;回购增持再贷款概念;西部大开发;一带一路;储能;沪股通;融资融券,600075,14,17
301081.SZ,共同富裕示范区;专精特新;污水处理;回购增持再贷款概念;融资融券,301081,5,33
603693.SH,生物质能发电;绿色电力;风电;国企改革;充电桩;储能;海工装备;钠离子电池;沪股通;融资融券,603693,10,17
002840.SZ,猪肉;养鸡;预制菜;冷链物流;碳中和;回购增持再贷款概念;深股通;融资融券,002840,8,33
000968.SZ,俄乌冲突概念;天然气;煤炭概念;新疆振兴;深股通;国企改革;融资融券,000968,7,33
600121.SH,煤炭概念;国企改革;机器人概念;工业互联网;DeepSeek概念;安防;数据要素;东数西算(算力);信创;沪股通;融资融券,600121,11,17
000688.SZ,金属铅;金属锌;金属铜;小金属概念;黄金概念;钛白粉概念;锂电池概念;2025年报预增;西部大开发;深股通;股权转让(并购重组);融资融券,000688,12,33
001896.SZ,抽水蓄能;超超临界发电;绿色电力;风电;煤炭概念;碳中和;充电桩;光伏建筑一体化;储能;数据中心;东数西算(算力);工业互联网;国企改革;华为概念;人工智能;创投;智能物流;深股通;融资融券,001896,19,33
300368.SZ,互联网金融;无人零售;信创;智慧城市;云计算;京津冀一体化;算力租赁;华为概念;机器人概念;雄安新区;国企改革;数据中心;风电;股权转让(并购重组);深股通;摘帽,300368,16,33
600815.SH,福建自贸区;地下管网;海峡两岸;军工;国企改革;高端装备;智能物流;中俄贸易概念;职业教育;沪股通,600815,10,17
300992.SZ,空气能热泵;液冷服务器;水利;人民币贬值受益;中俄贸易概念;融资融券,300992,6,33
603619.SH,俄乌冲突概念;天然气;新疆振兴;沪股通;一带一路;海工装备;回购增持再贷款概念;机器人概念;融资融券,603619,9,17
601330.SH,生物质能发电;绿色电力;医疗废物处理;国企改革;固废处理;沪股通;垃圾分类,601330,7,17
688429.SH,BC电池;TOPCON电池;HJT电池;光伏概念;沪股通;融资融券,688429,6,17
601666.SH,煤炭概念;煤化工概念;证金持股;国企改革;回购增持再贷款概念;沪股通;融资融券,601666,7,17
300390.SZ,固态电池;宁德时代概念;锂电池概念;小金属概念;储能;新能源汽车;医疗器械概念;中芯国际概念;华为概念;芯片概念;存储芯片;融资融券;深股通,300390,13,33
301179.SZ,虚拟电厂;电力物联网;智能电网;柔性直流输电;特高压;充电桩;数据中心;网络安全;数据安全;储能;光伏概念;风电;多模态AI;物联网;光伏建筑一体化;绿色电力;5G;数字孪生;数字经济;DeepSeek概念;人工智能;专精特新;无人机;低空经济;新型工业化;机器人概念;AI应用;深股通;融资融券,301179,29,33
002112.SZ,智能电网;风电;光伏概念;核电;储能;数据中心;共同富裕示范区;专精特新;国企改革;融资融券,002112,10,33
002575.SZ,算力租赁;Sora概念(文生视频);华为昇腾;腾讯概念;区块链;东数西算(算力);DeepSeek概念;创投;物业管理;粤港澳大湾区;深股通;融资融券,002575,12,33
