股票代码,所属概念,code,所属概念数量,market_code
300986.SZ,人工智能;量子科技;2025年报预增;雅下水电概念;装配式建筑;机器人概念;新型城镇化;一带一路;雄安新区;深股通;融资融券,300986,11,33
000951.SZ,新能源汽车;无人驾驶;燃料电池;减速器;氢能源;国企改革;冷链物流;深股通;融资融券,000951,9,33
000420.SZ,碳纤维;大飞机;飞行汽车(eVTOL);国企改革;低空经济;风电;无人机;体育产业;冰雪产业;融资融券;深股通,000420,11,33
600348.SH,煤炭概念;超超临界发电;氢能源;风电;TOPCON电池;钠离子电池;光伏概念;碳纤维;国企改革;储能;沪股通;融资融券,600348,12,17
300308.SZ,共封装光学(CPO);F5G概念;液冷服务器;芯片概念;5G;汽车电子;中国AI 50;深股通;同花顺新质50;数据中心;2025年报预增;无人驾驶;人民币贬值受益;创投;融资融券,300308,15,33
000690.SZ,超超临界发电;绿色电力;风电;参股券商;创投;深股通;融资融券,000690,7,33
600979.SH,天然气;碳交易;新疆振兴;绿色电力;碳中和;充电桩;风电;智慧城市;地下管网;光伏建筑一体化;污水处理;储能;乡村振兴;液冷服务器;国企改革;西部大开发;参股银行;创投;光伏概念;新能源汽车;沪股通;融资融券,600979,22,17
301488.SZ,长安汽车概念;华为汽车;无人驾驶;智能座舱;传感器;机器视觉;人形机器人;比亚迪概念;机器人概念;毫米波雷达;汽车电子;新能源汽车;专精特新;粤港澳大湾区;人工智能;英伟达概念;充电桩;华为概念;百度概念;汽车芯片;回购增持再贷款概念;深股通;融资融券,301488,23,33
002246.SZ,军民融合;军工;核电;商业航天;核污染防治;专精特新;垃圾分类;西部大开发;国企改革;深股通;融资融券,002246,11,33
688272.SH,卫星导航;量子科技;军民融合;军工;无人机;芯片概念;车联网(车路协同);机器视觉;无人驾驶;专精特新;机器人概念;融资融券,688272,12,17
601689.SH,汽车热管理;人形机器人;华为汽车;特斯拉概念;小米汽车;一体化压铸;新型工业化;新能源汽车;比亚迪概念;机器人概念;小米概念;智能座舱;汽车电子;无人驾驶;液冷服务器;同花顺新质50;英伟达概念;数据中心;同花顺出海50;中国AI 50;沪股通;融资融券,601689,22,17
601678.SH,环氧丙烷;煤化工概念;消毒剂;氟化工概念;回购增持再贷款概念;氢能源;锂电池概念;参股保险;参股银行;燃料电池;沪股通;融资融券,601678,12,17
300809.SZ,工业母机;人形机器人;第三代半导体;新型工业化;光刻机;专精特新;高端装备;机器人概念;2025年报预增;一带一路;深股通,300809,11,33
600537.SH,硅能源;钙钛矿电池;光伏建筑一体化;TOPCON电池;光伏概念;绿色电力;5G;融资融券,600537,8,17
600346.SH,煤化工概念;可降解塑料;锂电池概念;PET铜箔;同花顺漂亮100;沪股通;融资融券,600346,7,17
605488.SH,人形机器人;传感器;机器人概念;专精特新;苹果概念;消费电子概念;华为概念;沪股通,605488,8,17
000959.SZ,特钢概念;国企改革;雄安新区;京津冀一体化;创投;特斯拉概念;机器人概念;新能源汽车;2025年报预增;DeepSeek概念;人形机器人;深股通;融资融券,000959,13,33
600027.SH,煤炭概念;超超临界发电;绿色电力;证金持股;虚拟电厂;央企国企改革;风电;国企改革;氢能源;沪股通;融资融券;股权转让(并购重组),600027,12,17
002832.SZ,网红经济;体育产业;融资融券;深股通,002832,4,33
688513.SH,创新药;仿制药一致性评价;智能医疗;西部大开发;沪股通;融资融券,688513,6,17
002588.SZ,化肥;磷化工;生态农业;农村电商;玉米;锂电池概念;乡村振兴;数字乡村;深股通;融资融券,002588,10,33
688448.SH,污水处理;融资融券,688448,2,17
000858.SZ,白酒概念;超级品牌;同花顺漂亮100;证金持股;参股券商;深股通;融资融券;国企改革;西部大开发,000858,9,33
300773.SZ,数字货币;移动支付;跨境支付(CIPS);蚂蚁集团概念;数据确权;云计算;区块链;互联网金融;AI智能体;数据要素;鸿蒙概念;数字经济;腾讯概念;DeepSeek概念;人工智能;华为概念;AI应用;跨境电商;智能物流;参股保险;小米概念;智能穿戴;2025年报预增;深股通;融资融券,300773,25,33
002079.SZ,HJT电池;第三代半导体;BC电池;钙钛矿电池;先进封装;TOPCON电池;芯片概念;汽车芯片;消费电子概念;光伏概念;传感器;智能穿戴;无线耳机;苹果概念;小米概念;汽车电子;比亚迪概念;虚拟现实;5G;人形机器人;华为概念;物联网;储能;创投;深股通;融资融券;股权转让(并购重组),002079,27,33
300565.SZ,光纤概念;太赫兹;液冷服务器;5G;数据中心;储能;智慧灯杆;物联网;数字孪生;粤港澳大湾区;锂电池概念,300565,11,33
601026.SH,丙烯酸;碳纤维;注册制次新股;风电;海工装备;专精特新;新能源汽车;储能;光伏概念;芯片概念;锂电池概念;新股与次新股;融资融券,601026,13,17
002531.SZ,氢能源;风电;海工装备;绿色电力;深股通;融资融券,002531,6,33
300201.SZ,苹果概念;核污染防治;高端装备;军工;无人机;军民融合;无人驾驶;机器人概念;工业互联网;电力物联网;宁德时代概念;智能电网;储能;锂电池概念;深股通,300201,15,33
603202.SH,两轮车;注册制次新股;参股银行;人民币贬值受益;新型工业化;比亚迪概念;智能座舱;汽车电子;新股与次新股;融资融券,603202,10,17
600935.SH,水泥概念;可降解塑料;硅能源;国企改革;沪股通,600935,5,17
601633.SH,同花顺漂亮100;证金持股;两轮车;沪股通;融资融券;雄安新区;氢能源;固态电池;燃料电池;车联网(车路协同);新能源汽车;无人驾驶;机器人概念;DeepSeek概念;同花顺出海50;宁德时代概念;智能座舱;华为概念;MCU芯片,601633,19,17
000537.SZ,绿色电力;光热发电;风电;新疆振兴;央企国企改革;国企改革;储能;京津冀一体化;深股通;融资融券,000537,10,33
300152.SZ,ST板块;PM2.5;土壤修复;净水概念;PPP概念;创投;生物质能发电;雄安新区;污水处理;碳中和;燃料电池;氢能源,300152,12,33
605123.SH,航空发动机;大飞机;商业航天;卫星导航;军工;可控核聚变;核电;海工装备;风电;专精特新;沪股通;融资融券,605123,12,17
301035.SZ,草甘膦;回购增持再贷款概念;2025年报预增;人民币贬值受益;深股通;融资融券,301035,6,33
601988.SH,同花顺中特估100;证金持股;跨境支付(CIPS);沪股通;融资融券,601988,5,17
002356.SZ,天然气;共享单车;氢能源;风电;绿色电力;数字经济;充电桩;深股通,002356,8,33
000723.SZ,煤炭概念;煤化工概念;天然气;氢能源;碳中和;污水处理;燃料电池;深股通;超级电容;储能;机器人概念;新能源汽车;无人驾驶;股权转让(并购重组);融资融券,000723,15,33
002131.SZ,小红书概念;快手概念;多模态AI;ChatGPT概念;AIGC概念;AI应用;虚拟数字人;抖音概念(字节概念);AI智能体;百度概念;腾讯概念;数据要素;区块链;DeepSeek概念;人工智能;文化传媒概念;数字经济;独角兽概念;华为概念;机器视觉;芯片概念;小米概念;核电;专精特新;创投;跨境电商;液冷服务器;水利;医疗器械概念;海工装备;新能源汽车;污水处理;一带一路;深股通;融资融券,002131,35,33
300880.SZ,电力物联网;智能电网;虚拟电厂;高压快充;充电桩;储能;物联网;传感器;鸿蒙概念;专精特新;融资融券,300880,11,33
300443.SZ,风电;海工装备;军工;减速器;2025年报预增;创投;融资融券;深股通,300443,8,33
002466.SZ,盐湖提锂;动力电池回收;固态电池;锂电池概念;化肥;特斯拉概念;新能源汽车;同花顺漂亮100;西部大开发;深股通;融资融券;证金持股,002466,12,33
600343.SH,商业航天;军民融合;大飞机;军工;水利;高端装备;央企国企改革;西部大开发;国企改革;氢能源;煤化工概念;沪股通;融资融券,600343,13,17
002298.SZ,电力物联网;虚拟电厂;智能电网;网络安全;东数西算(算力);云计算;数据安全;智慧政务;信创;数据中心;腾讯概念;阿里巴巴概念;数据要素;人脸识别;智慧城市;华为概念;时空大数据;AIGC概念;物联网;数字经济;抽水蓄能;安防;人工智能;数字乡村;充电桩;工业互联网;5G;高铁;军工信息化;光伏建筑一体化;机器视觉;水利;储能;无人机;碳交易;传感器;军工;专精特新;无线充电;光纤概念;消费电子概念;绿色电力;碳中和;新型城镇化;PPP概念;锂电池概念;深股通;融资融券,002298,48,33
688676.SH,智能电网;抽水蓄能;核电;光伏概念;风电;储能;海工装备;数据中心;高端装备;新能源汽车;雅下水电概念;中国AI 50;专精特新;工业互联网;机器人概念;华为概念;海南自贸区;数字孪生;阿里巴巴概念;百度概念;数据要素;融资融券;沪股通,688676,23,17
920284.BJ,专精特新;锂电池概念;宁德时代概念;人造肉;新型工业化;固态电池;融资融券,920284,7,151
601869.SH,光纤概念;共封装光学(CPO);铜缆高速连接;特高压;第三代半导体;5G;智能电网;风电;太赫兹;新能源汽车;芯片概念;海工装备;专精特新;人形机器人;一带一路;量子科技;机器人概念;工业互联网;沪股通;创投;抖音概念(字节概念);融资融券,601869,22,17
002270.SZ,特高压;工业母机;高端装备;专精特新;机器人概念;绿色电力;深股通;融资融券,002270,8,33
002554.SZ,俄乌冲突概念;天然气;股权转让(并购重组);氢能源;地下管网;国企改革;一带一路;碳中和;海工装备;碳交易;污水处理;垃圾分类;人民币贬值受益;云计算;融资融券,002554,15,33
000875.SZ,抽水蓄能;超超临界发电;风电;绿色电力;储能;充电桩;氢能源;央企国企改革;一带一路;PPP概念;华为概念;国企改革;乡村振兴;机器人概念;深股通;融资融券,000875,16,33
600746.SH,煤化工概念;固废处理;国企改革;沪股通,600746,4,17
603568.SH,金属镍;锂电池概念;固废处理;污水处理;一带一路;垃圾分类;生物质能发电;PPP概念;碳交易;机器人概念;沪股通;融资融券,603568,12,17
601611.SH,可控核聚变;军工;核电;水利;央企国企改革;风电;智能电网;中字头股票;房屋检测;一带一路;储能;长三角一体化;国企改革;PPP概念;同花顺中特估100;沪股通;融资融券,601611,17,17
600268.SH,特高压;智能电网;虚拟电厂;抽水蓄能;超超临界发电;风电;充电桩;核电;绿色电力;储能;高铁;雅下水电概念;高端装备;水利;央企国企改革;新疆振兴;华为概念;商业航天;机器人概念;雄安新区;国企改革;DeepSeek概念;人工智能;数据要素;AI智能体;沪股通;融资融券,600268,27,17
002168.SZ,ST板块;新能源汽车;创投;网络游戏;高压快充;区块链;华为概念;充电桩;手机游戏;光伏概念;智能电网;腾讯概念;储能;国企改革;西部大开发,002168,15,33
300073.SZ,钠离子电池;固态电池;动力电池回收;宁德时代概念;锂电池概念;特斯拉概念;储能;比亚迪概念;新能源汽车;金属钴;飞行汽车(eVTOL);小金属概念;高端装备;低空经济;无人机;国企改革;央企国企改革;深股通;融资融券,300073,19,33
002322.SZ,电力物联网;智能电网;东数西算(算力);特高压;PM2.5;数字孪生;储能;信创;数据要素;人工智能;虚拟现实;核电;无人机;土壤修复;AI应用;深股通,002322,16,33
605162.SH,虚拟电厂;碳交易;碳中和;储能,605162,4,17
601128.SH,沪股通;融资融券,601128,2,17
688543.SH,商业航天;军民融合;军工;无人机;人工智能;国企改革;沪股通;融资融券,688543,8,17
603955.SH,雄安新区;PPP概念;新型城镇化;宠物经济;碳中和;旅游概念;特色小镇;机器人概念;股权转让(并购重组),603955,9,17
600259.SH,金属铜;稀土永磁;小金属概念;海南自贸区;央企国企改革;国企改革;粤港澳大湾区;融资融券;中字头股票;沪股通,600259,10,17
001286.SZ,煤炭概念;超超临界发电;国企改革;西部大开发;回购增持再贷款概念;充电桩;换电概念;深股通;融资融券,001286,9,33
300166.SZ,算力租赁;MLOps概念;华为昇腾;华为欧拉;云计算;AI语料;数字水印;华为鲲鹏;数据安全;ChatGPT概念;智慧政务;多模态AI;Web3.0;信创;AIGC概念;东数西算(算力);虚拟数字人;AI智能体;电子身份证;互联网保险;数据要素;区块链;数字乡村;鸿蒙概念;时空大数据;元宇宙;DeepSeek概念;智慧城市;数字经济;互联网金融;数据中心;数字孪生;人工智能;职业教育;虚拟现实;华为概念;物联网;AI手机;AI应用;5G;工业互联网;机器视觉;京津冀一体化;虚拟电厂;新型工业化;人形机器人;海工装备;碳中和;乡村振兴;深股通;融资融券,300166,51,33
603606.SH,风电;海工装备;高端装备;柔性直流输电;工业互联网;参股券商;沪股通;融资融券,603606,8,17
300760.SZ,智能医疗;医疗器械概念;同花顺漂亮100;宠物经济;AIGC概念;DeepSeek概念;AI应用;机器人概念;同花顺出海50;融资融券;深股通,300760,11,33
600674.SH,绿色电力;证金持股;国企改革;西部大开发;沪股通;融资融券;回购增持再贷款概念,600674,7,17
300715.SZ,光伏概念;专精特新;芯片概念;长三角一体化;光伏建筑一体化,300715,5,33
300607.SZ,人形机器人;飞行汽车(eVTOL);新型工业化;工业母机;机器人概念;低空经济;无人机;比亚迪概念;高端装备;机器视觉;工业互联网;新能源汽车;华为欧拉;物联网;人工智能;华为鲲鹏;华为概念;粤港澳大湾区;智谱AI;阿里巴巴概念;宁德时代概念;富士康概念;光伏概念;一带一路;锂电池概念;融资融券;深股通,300607,27,33
600861.SH,职业教育;虚拟数字人;京津冀一体化;人工智能;乡村振兴;国企改革;一带一路;沪股通,600861,8,17
000155.SZ,盐湖提锂;小金属概念;磷化工;锂电池概念;绿色电力;风电;储能;固废处理;回购增持再贷款概念;西部大开发;国企改革;深股通;融资融券,000155,13,33
600593.SH,冰雪产业;IP经济(谷子经济);旅游概念;露营经济;体育产业;元宇宙;国企改革;参股银行;股权转让(并购重组),600593,9,17
000333.SZ,超级品牌;证金持股;空气能热泵;同花顺漂亮100;家用电器;智能家居;深股通;融资融券;汽车热管理;AI智能体;物联网;工业互联网;一带一路;智能电网;机器人概念;人形机器人;回购增持再贷款概念;华为概念;同花顺出海50;数据中心;MCU芯片;芯片概念;液冷服务器,000333,23,33
600522.SH,光纤概念;共封装光学(CPO);铜缆高速连接;液冷服务器;超导概念;特高压;超级电容;柔性直流输电;可控核聚变;6G概念;光伏概念;5G;风电;钙钛矿电池;数据中心;智能电网;核电;固态电池;储能;海工装备;锂电池概念;氢能源;汽车电子;新能源汽车;绿色电力;量子科技;东数西算(算力);商业航天;工业互联网;一带一路;华为概念;碳中和;机器人概念;低空经济;阿里巴巴概念;DeepSeek概念;数字经济;数据要素;沪股通;融资融券;证金持股,600522,41,17
002759.SZ,钠离子电池;固态电池;氟化工概念;磷化工;宁德时代概念;锂电池概念;比亚迪概念;家用电器;深股通;融资融券,002759,10,33
920106.BJ,2025年报预增;军工;新能源汽车;飞行汽车(eVTOL);低空经济;农机;融资融券;长安汽车概念;比亚迪概念,920106,9,151
601939.SH,同花顺中特估100;证金持股;沪股通;融资融券;跨境支付(CIPS),601939,5,17
600172.SH,培育钻石;第三代半导体;回购增持再贷款概念;国企改革;物业管理;旅游概念;沪股通;融资融券,600172,8,17
002083.SZ,氟化工概念;硅能源;锂电池概念;新能源汽车;军工;军民融合;高铁;海工装备;人民币贬值受益;回购增持再贷款概念;中俄贸易概念;一带一路;创投;托育服务;三胎概念;国企改革;深股通,002083,17,33
000159.SZ,新疆振兴;西部大开发;一带一路;金属铜;光伏概念;乡村振兴;特高压;融资融券,000159,8,33
603699.SH,页岩气;氢能源;可控核聚变;核电;一带一路;风电;人民币贬值受益;沪股通;融资融券,603699,9,17
000988.SZ,F5G概念;共封装光学(CPO);铜缆高速连接;PCB概念;高压快充;5G;6G概念;先进封装;东数西算(算力);充电桩;MiniLED;苹果概念;第三代半导体;芯片概念;储能;MicroLED概念;工业母机;柔性屏(折叠屏);量子科技;汽车电子;宁德时代概念;华为概念;氢能源;高端装备;专精特新;物联网;锂电池概念;卫星导航;工业互联网;新型工业化;商业航天;比亚迪概念;新能源汽车;传感器;航空发动机;数字孪生;3D打印;智能座舱;特斯拉概念;汽车热管理;机器人概念;智慧城市;阿里巴巴概念;大飞机;腾讯概念;百度概念;钙钛矿电池;华为汽车;独角兽概念;数据要素;AI智能体;农机;回购增持再贷款概念;智能家居;长安汽车概念;创投;家用电器;乡村振兴;国企改革;基因测序;深股通;融资融券,000988,62,33
002170.SZ,磷化工;化肥;生态农业;农村电商;转基因;土地流转;2025三季报预增;锂电池概念;钠离子电池;垃圾分类;乡村振兴;2025年报预增;无人机;数字乡村;物联网;人工智能;深股通,002170,17,33
603977.SH,军民融合;军工信息化;航空发动机;民爆概念;军工;商业航天;无人机;3D打印;芯片概念;高铁;雅下水电概念;小金属概念;工业互联网;国企改革;数字经济;DeepSeek概念;虚拟现实;智慧政务;元宇宙;AI应用;沪股通,603977,21,17
600803.SH,天然气;俄乌冲突概念;煤化工概念;沪股通;融资融券;氢能源;雄安新区;燃料电池;DeepSeek概念;股权转让(并购重组),600803,10,17
000659.SZ,横琴新区;粤港澳大湾区;啤酒概念,000659,3,33
300568.SZ,钠离子电池;固态电池;宁德时代概念;锂电池概念;储能;比亚迪概念;新能源汽车;氢能源;回购增持再贷款概念;机器人概念;芯片概念;DeepSeek概念;融资融券;深股通,300568,14,33
000620.SZ,存储芯片;芯片概念;参股银行;乡村振兴;京津冀一体化;体育产业;旅游概念;IP经济(谷子经济);数据要素;AI智能体;短剧游戏;深股通,000620,12,33
002859.SZ,超导概念;PET铜箔;消费电子概念;专精特新;锂电池概念;可控核聚变;宁德时代概念;一带一路;固态电池;深股通;融资融券,002859,11,33
002455.SZ,磷化工;石墨电极;金属回收;固态电池;钠离子电池;锂电池概念;动力电池回收;宁德时代概念;光刻胶;储能;新能源汽车;深股通;融资融券,002455,13,33
002950.SZ,医药电商;医美概念;医疗器械概念;三胎概念;人民币贬值受益;回购增持再贷款概念;深股通,002950,7,33
600516.SH,可控核聚变;石墨电极;石墨烯;核电;钠离子电池;锂电池概念;固态电池;碳纤维;西部大开发;工业互联网;参股银行;人工智能;沪股通;融资融券,600516,14,17
300829.SZ,农业种植;土地流转;玉米;乡村振兴;可降解塑料;参股银行;2025年报预增;回购增持再贷款概念,300829,8,33
600795.SH,超超临界发电;抽水蓄能;绿色电力;证金持股;风电;央企国企改革;国企改革;沪股通;融资融券,600795,9,17
600595.SH,煤炭概念;超导概念;风电;2025年报预增;融资融券;沪股通,600595,6,17
301162.SZ,虚拟电厂;碳交易;智能电网;绿色电力;人工智能;风电;光伏概念;储能;专精特新;深股通;融资融券,301162,11,33
688567.SH,钠离子电池;固态电池;动力电池回收;两轮车;锂电池概念;储能;人形机器人;高压快充;飞行汽车(eVTOL);新能源汽车;机器人概念;低空经济;人民币贬值受益;数据中心;无人机;国企改革;沪股通;融资融券,688567,18,17
002616.SZ,生物质能发电;绿色电力;固废处理;农业种植;粤港澳大湾区;2025三季报预增,002616,6,33
002848.SZ,东数西算(算力);人工智能;华为概念;数字经济;PCB概念;智慧城市;医疗器械概念;5G;MiniLED;智能家居;军工;国企改革;卫星导航;ST板块,002848,14,33
601229.SH,沪股通;融资融券,601229,2,17
688575.SH,猴痘概念;肝炎概念;基因测序;脑机接口;辅助生殖;医疗器械概念;智能医疗;DeepSeek概念;沪股通;融资融券,688575,10,17
000883.SZ,超超临界发电;绿色电力;证金持股;天然气;抽水蓄能;页岩气;央企国企改革;风电;国企改革;储能;回购增持再贷款概念;核电;深股通;融资融券,000883,14,33
002200.SZ,特色小镇;PPP概念;污水处理;ST板块;国企改革;西部大开发,002200,6,33
300317.SZ,虚拟电厂;光伏建筑一体化;绿色电力;华为概念;风电;光伏概念;粤港澳大湾区;储能;国企改革;OLED;锂电池概念,300317,11,33
002014.SZ,供销社;绿色电力;深股通,002014,3,33
000035.SZ,碳交易;固废处理;绿色电力;风电;氢能源;医疗废物处理;生物质能发电;垃圾分类;一带一路;回购增持再贷款概念;储能;机器人概念;人工智能;深股通;融资融券,000035,15,33
605111.SH,汽车芯片;先进封装;第三代半导体;芯片概念;汽车电子;数据中心;东数西算(算力);无人机;专精特新;无人驾驶;比亚迪概念;新能源汽车;低空经济;机器人概念;充电桩;光伏概念;宁德时代概念;融资融券;沪股通,605111,19,17
600104.SH,超级品牌;证金持股;同花顺漂亮100;参股银行;上海国企改革;网约车;国企改革;足球概念;沪股通;融资融券;动力电池回收;华为汽车;燃料电池;换电概念;一带一路;独角兽概念;固态电池;新能源汽车;DeepSeek概念;车联网(车路协同);无人驾驶;宁德时代概念;华为概念;2025年报预增,600104,24,17
600230.SH,央企国企改革;国企改革;京津冀一体化;沪股通;融资融券,600230,5,17
002353.SZ,页岩气;核电;数据中心;海工装备;天然气;高端装备;同花顺出海50;一带一路;锂电池概念;中俄贸易概念;回购增持再贷款概念;动力电池回收;污水处理;土壤修复;深股通;融资融券,002353,16,33
300850.SZ,风电;绿色电力;2025年报预增;海工装备;高端装备;融资融券;深股通,300850,7,33
003010.SZ,拼多多概念;虚拟数字人;文化传媒概念;AIGC概念;阿里巴巴概念;跨境电商;人工智能;数字经济;DeepSeek概念;宠物经济;三胎概念;虚拟现实;粤港澳大湾区;2025年报预增;AI应用;回购增持再贷款概念;深股通,003010,17,33
688766.SH,存储芯片;MCU芯片;芯片概念;汽车电子;小米概念;华为概念;融资融券;沪股通,688766,8,17
001207.SZ,特高压;固态电池,001207,2,33
300419.SZ,网络安全;智慧政务;华为欧拉;数据安全;云计算;信创;东数西算(算力);数据要素;百度概念;物联网;AI智能体;DeepSeek概念;抖音概念(字节概念);人工智能;互联网金融;快手概念;量子科技;华为概念;ST板块;数据中心;军工;AI应用;股权转让(并购重组),300419,23,33
688578.SH,创新药;2025年报预增;沪股通;融资融券,688578,4,17
600173.SH,黄金概念;金属锌;金属铅;金属铜;稀土永磁;物业管理;IP经济(谷子经济);手机游戏;网络游戏;锂电池概念;绿色电力;氢能源;风电;机器人概念;储能;沪股通;股权转让(并购重组),600173,17,17
002898.SZ,ST板块;医美概念;仿制药一致性评价;横琴新区;医疗器械概念;幽门螺杆菌概念;创新药;肝炎概念;新疆振兴;东数西算(算力);股权转让(并购重组),002898,11,33
002544.SZ,卫星导航;商业航天;军民融合;军工;6G概念;低空经济;网络安全;智慧城市;数字乡村;数字孪生;数据要素;物联网;东数西算(算力);华为概念;5G;机器人概念;水利;数据中心;横琴新区;农机;粤港澳大湾区;储能;一带一路;雄安新区;乡村振兴;国企改革;PCB概念;2025年报预增;深股通;融资融券,002544,30,33
603213.SH,共同富裕示范区;国企改革;消毒剂;氢能源;石墨烯;工业互联网;沪股通;股权转让(并购重组),603213,8,17
000533.SZ,智能电网;抽水蓄能;风电;充电桩;超超临界发电;核电;光伏概念;储能;数据中心;水利;海工装备;可控核聚变;东数西算(算力);百度概念;数字经济;阿里巴巴概念;粤港澳大湾区;比亚迪概念;中芯国际概念;深股通;融资融券,000533,21,33
600863.SH,煤炭概念;超超临界发电;绿色电力;风电;证金持股;央企国企改革;国企改革;西部大开发;沪股通;融资融券,600863,10,17
002077.SZ,存储芯片;先进封装;汽车芯片;芯片概念;汽车电子;2025年报预增;锂电池概念;创投;固废处理;国企改革;融资融券;深股通,002077,12,33
000707.SZ,化肥;煤化工概念;国企改革;钠离子电池;储能;宁德时代概念;比亚迪概念;股权转让(并购重组);融资融券,000707,9,33
603091.SH,人民币贬值受益;可降解塑料;跨境电商;乡村振兴;沪股通;融资融券,603091,6,17
300160.SZ,光伏建筑一体化;家用电器;国企改革;充电桩;物联网;特斯拉概念,300160,6,33
601728.SH,同花顺中特估100;国企改革;央企国企改革;国资云;数据要素;DeepSeek概念;区块链;云计算;AI应用;物联网;量子科技;卫星导航;商业航天;6G概念;中国AI 50;数据中心;5G;中字头股票;融资融券;沪股通,601728,20,17
603530.SH,柔性直流输电;特高压;抽水蓄能;智能电网;核电;风电;绿色电力;沪股通;融资融券,603530,9,17
000902.SZ,化肥;磷化工;大豆;生态农业;农村电商;氟化工概念;乡村振兴;锂电池概念;数字乡村;深股通;融资融券,000902,11,33
600933.SH,一体化压铸;人形机器人;新能源汽车;机器人概念;人民币贬值受益;回购增持再贷款概念;同花顺出海50;沪股通;融资融券,600933,9,17
601963.SH,乡村振兴;西部大开发;沪股通,601963,3,17
600886.SH,同花顺中特估100;证金持股;绿色电力;抽水蓄能;国企改革;央企国企改革;沪股通;融资融券,600886,8,17
300191.SZ,可燃冰;俄乌冲突概念;天然气;新疆振兴;深股通;融资融券;海工装备,300191,7,33
920799.BJ,蚂蚁集团概念;华为昇腾;鸿蒙概念;量子科技;融资融券;跨境支付(CIPS);虚拟现实;虚拟数字人;百度概念;汽车电子;星闪概念;数字货币;华为鲲鹏;华为欧拉;华为概念;信创;人工智能;上海自贸区;互联网金融;ChatGPT概念,920799,20,151
600519.SH,白酒概念;超级品牌;同花顺漂亮100;证金持股;沪股通;融资融券;国企改革;西部大开发,600519,8,17
000683.SZ,煤化工概念;化肥;碳中和;西部大开发;深股通;融资融券,000683,6,33
000820.SZ,ST板块;固废处理;储能,000820,3,33
600409.SH,有机硅概念;消毒剂;钠离子电池;绿色电力;国企改革;光伏概念;京津冀一体化;华为概念;沪股通;融资融券,600409,10,17
920036.BJ,多模态AI;物联网;AI应用;AI智能体;新股与次新股;融资融券;人民币贬值受益,920036,7,151
002729.SZ,消费电子概念;海峡两岸;福建自贸区;比亚迪概念;汽车电子;新能源汽车;家用电器;数据中心;光伏概念;充电桩;储能;风电;融资融券,002729,13,33
601918.SH,煤炭概念;煤化工概念;超超临界发电;央企国企改革;国企改革;风电;回购增持再贷款概念;沪股通;融资融券,601918,9,17
600309.SH,环氧丙烷;煤化工概念;丙烯酸;POE胶膜;可降解塑料;绿色电力;同花顺出海50;国企改革;证金持股;锂电池概念;同花顺漂亮100;碳纤维;沪股通;融资融券;低空经济;AIGC概念,600309,16,17
002543.SZ,净水概念;空气能热泵;氢能源;创投;一带一路;家用电器;智能家居;粤港澳大湾区;独角兽概念;DeepSeek概念;人工智能;短剧游戏;AIGC概念;华为概念;百度概念;深股通;融资融券,002543,17,33
688710.SH,CRO概念;细胞免疫治疗;智能医疗;创新药;国企改革;央企国企改革;沪股通;融资融券,688710,8,17
002360.SZ,可降解塑料;民爆概念;光伏概念,002360,3,33
920471.BJ,NMN概念;基因测序;京津冀一体化;可降解塑料;环氧丙烷;融资融券;合成生物,920471,7,151
300498.SZ,猪肉;养鸡;预制菜;乡村振兴;禽流感;基因测序;回购增持再贷款概念;深股通;融资融券,300498,9,33
600641.SH,存储芯片;OLED;第三代半导体;芯片概念;TOPCON电池;光伏概念;小金属概念;创投;沪股通;股权转让(并购重组);融资融券,600641,11,17
000568.SZ,白酒概念;超级品牌;啤酒概念;证金持股;参股券商;同花顺漂亮100;深股通;融资融券;国企改革;西部大开发;回购增持再贷款概念,000568,11,33
605016.SH,代糖概念;参股银行;人民币贬值受益;专精特新;海峡两岸;沪股通,605016,6,17
002423.SZ,信托概念;期货概念;参股保险;区块链;乡村振兴;国企改革;养老概念;参股银行;人工智能;央企国企改革;同花顺中特估100;融资融券;中字头股票;深股通,002423,14,33
601838.SH,沪股通;国企改革;西部大开发;融资融券,601838,4,17
605117.SH,光伏概念;储能;同花顺出海50;一带一路;人民币贬值受益;共同富裕示范区;家用电器;融资融券;沪股通,605117,9,17
300989.SZ,粤港澳大湾区;新型城镇化;旅游概念;低空经济;乡村振兴;智慧城市;空间计算;人工智能;时空大数据;一带一路;数据要素;算力租赁;AI应用;融资融券,300989,14,33
002129.SZ,BC电池;TOPCON电池;HJT电池;硅能源;同花顺漂亮100;光伏概念;商业航天;一带一路;芯片概念;中芯国际概念;深股通;融资融券,002129,12,33
002149.SZ,商业航天;卫星导航;航空发动机;军工;可控核聚变;超导概念;核电;柔性屏(折叠屏);海工装备;5G;专精特新;西部大开发;燃料电池;氢能源;医疗器械概念;国企改革;小金属概念;俄乌冲突概念;深股通;融资融券,002149,20,33
300348.SZ,数字货币;跨境支付(CIPS);移动支付;财税数字化;互联网金融;区块链;华为欧拉;华为鲲鹏;鸿蒙概念;信创;数据要素;AI智能体;云计算;数据安全;数字经济;AIGC概念;智慧城市;腾讯概念;阿里巴巴概念;DeepSeek概念;人工智能;华为概念;化债概念(AMC概念);粤港澳大湾区;一带一路;AI应用;融资融券;深股通,300348,28,33
301301.SZ,维生素;合成生物;肝炎概念;农业种植;智能医疗;土地流转;粮食概念;玉米;新疆振兴;乡村振兴;西部大开发;人工智能;深股通;融资融券,301301,14,33
